,CO1 Comdty ,CO1 Comdty ,CO2 Comdty ,CO2 Comdty ,CO3 Comdty,CO3 Comdty
,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT
2010-01-01,,742159.0,,742159.0,,742159.0
2010-01-04,176882.0,743682.0,157914.0,743682.0,63489.0,743682.0
2010-01-05,172055.0,754772.0,166259.0,754772.0,66154.0,754772.0
2010-01-06,163579.0,772045.0,180659.0,772045.0,71336.0,772045.0
2010-01-07,144865.0,776685.0,189084.0,776685.0,78681.0,776685.0
2010-01-08,124828.0,792472.0,205944.0,792472.0,87789.0,792472.0
2010-01-11,100566.0,817977.0,234995.0,817977.0,101089.0,817977.0
2010-01-12,62686.0,807049.0,256083.0,807049.0,108140.0,807049.0
2010-01-13,30437.0,796928.0,267619.0,796928.0,115756.0,796928.0
2010-01-14,34636.0,825841.0,270040.0,825841.0,130603.0,825841.0
2010-01-15,261886.0,788407.0,133048.0,788407.0,53641.0,788407.0
2010-01-18,260264.0,791447.0,135868.0,791447.0,54500.0,791447.0
2010-01-19,242188.0,774537.0,129394.0,774537.0,56853.0,774537.0
2010-01-20,234469.0,773793.0,127304.0,773793.0,60829.0,773793.0
2010-01-21,229878.0,775893.0,130065.0,775893.0,62743.0,775893.0
2010-01-22,216475.0,761138.0,131236.0,761138.0,62984.0,761138.0
2010-01-25,207007.0,757026.0,135496.0,757026.0,62709.0,757026.0
2010-01-26,199610.0,766026.0,135613.0,766026.0,71462.0,766026.0
2010-01-27,190970.0,769124.0,134020.0,769124.0,75216.0,769124.0
2010-01-28,185117.0,776112.0,140055.0,776112.0,81356.0,776112.0
2010-01-29,177555.0,776550.0,143747.0,776550.0,84377.0,776550.0
2010-02-01,170009.0,781399.0,149035.0,781399.0,88124.0,781399.0
2010-02-02,152753.0,793425.0,164446.0,793425.0,95529.0,793425.0
2010-02-03,130052.0,792345.0,183051.0,792345.0,94754.0,792345.0
2010-02-04,118130.0,792906.0,185008.0,792906.0,99445.0,792906.0
2010-02-05,84675.0,773814.0,177592.0,773814.0,111248.0,773814.0
2010-02-08,75905.0,798111.0,187461.0,798111.0,125648.0,798111.0
2010-02-09,48466.0,773780.0,182010.0,773780.0,130469.0,773780.0
2010-02-10,25592.0,767732.0,192020.0,767732.0,139002.0,767732.0
2010-02-11,28510.0,795662.0,200664.0,795662.0,149738.0,795662.0
2010-02-12,192958.0,764067.0,152098.0,764067.0,99926.0,764067.0
2010-02-15,198210.0,778286.0,158386.0,778286.0,102121.0,778286.0
2010-02-16,207194.0,803196.0,165053.0,803196.0,111627.0,803196.0
2010-02-17,204155.0,818746.0,170090.0,818746.0,116830.0,818746.0
2010-02-18,207297.0,834624.0,174119.0,834624.0,123403.0,834624.0
2010-02-19,209363.0,849684.0,178447.0,849684.0,126254.0,849684.0
2010-02-22,196343.0,838749.0,178374.0,838749.0,127695.0,838749.0
2010-02-23,190312.0,840520.0,181204.0,840520.0,129540.0,840520.0
2010-02-24,191976.0,850375.0,185278.0,850375.0,127173.0,850375.0
2010-02-25,183919.0,838656.0,185825.0,838656.0,120228.0,838656.0
2010-02-26,178864.0,857981.0,198060.0,857981.0,124490.0,857981.0
2010-03-01,175711.0,859392.0,204292.0,859392.0,122916.0,859392.0
2010-03-02,150885.0,840392.0,200424.0,840392.0,126781.0,840392.0
2010-03-03,138839.0,824760.0,193693.0,824760.0,129313.0,824760.0
2010-03-04,117865.0,808150.0,187703.0,808150.0,140509.0,808150.0
2010-03-05,122381.0,820867.0,183715.0,820867.0,149660.0,820867.0
2010-03-08,102425.0,849606.0,212679.0,849606.0,165898.0,849606.0
2010-03-09,97473.0,866322.0,228798.0,866322.0,170976.0,866322.0
2010-03-10,74642.0,868691.0,245430.0,868691.0,178968.0,868691.0
2010-03-11,47519.0,871815.0,251914.0,871815.0,190282.0,871815.0
2010-03-12,42373.0,881104.0,248960.0,881104.0,201309.0,881104.0
2010-03-15,20051.0,862455.0,239239.0,862455.0,209254.0,862455.0
2010-03-16,29544.0,892168.0,256829.0,892168.0,203282.0,892168.0
2010-03-17,255648.0,872200.0,207404.0,872200.0,71608.0,872200.0
2010-03-18,258257.0,882280.0,208227.0,882280.0,75766.0,882280.0
2010-03-19,253068.0,887040.0,212960.0,887040.0,77014.0,887040.0
2010-03-22,253169.0,897568.0,215791.0,897568.0,78737.0,897568.0
2010-03-23,248479.0,896819.0,218219.0,896819.0,79728.0,896819.0
2010-03-24,231196.0,900850.0,226733.0,900850.0,89454.0,900850.0
2010-03-25,216428.0,899848.0,231295.0,899848.0,96783.0,899848.0
2010-03-26,205210.0,903758.0,228203.0,903758.0,108461.0,903758.0
2010-03-29,214663.0,923549.0,226914.0,923549.0,111769.0,923549.0
2010-03-30,201123.0,932714.0,238645.0,932714.0,116791.0,932714.0
2010-03-31,198915.0,937633.0,246111.0,937633.0,118915.0,937633.0
2010-04-01,190647.0,,255933.0,,119684.0,
2010-04-05,190647.0,943953.0,255933.0,943953.0,119684.0,943953.0
2010-04-06,175918.0,927015.0,248076.0,927015.0,125392.0,927015.0
2010-04-07,161239.0,910160.0,237432.0,910160.0,127446.0,910160.0
2010-04-08,139569.0,898900.0,234810.0,898900.0,134553.0,898900.0
2010-04-09,126622.0,891552.0,232096.0,891552.0,139387.0,891552.0
2010-04-12,103246.0,897353.0,247493.0,897353.0,143340.0,897353.0
