,CO1,CO2,CO3,CO1 R:02_0_D,CO2 R:02_0_D,CO3 R:02_0_D,.BRCOMN,.BRCOML,.BRCOMS,.BRMMN,.BRMML,.BRMMS
2010-01-04,80.12,80.79,81.46,21.43,41.47,48.9,,,,,,
2010-01-05,80.59,81.22,81.9,21.9,41.9,49.34,,,,,,
2010-01-06,81.89,82.49,83.17,23.2,43.17,50.61,,,,,,
2010-01-07,81.51,81.97,82.61,22.82,42.65,50.05,,,,,,
2010-01-08,81.37,81.94,82.61,22.68,42.62,50.05,,,,,,
2010-01-11,80.97,81.54,82.2,22.28,42.22,49.64,,,,,,
2010-01-12,79.3,79.83,80.46,20.61,40.51,47.9,,,,,,
2010-01-13,78.31,78.82,79.43,19.6,39.48,46.86,,,,,,
2010-01-14,77.82,78.57,79.22,19.35,39.27,46.67,,,,,,
2010-01-15,77.11,77.85,78.57,17.89,37.9,45.36,,,,,,
2010-01-18,77.1,77.82,78.52,17.88,37.87,45.31,,,,,,
2010-01-19,77.63,78.32,79.0,18.41,38.37,45.79,,,,,,
2010-01-20,76.32,77.01,77.7,17.1,37.06,44.49,,,,,,
2010-01-21,74.58,75.26,75.94,15.36,35.31,42.73,,,,,,
2010-01-22,72.83,73.51,74.21,13.61,33.56,41.0,,,,,,
2010-01-25,73.69,74.32,75.0,14.47,34.37,41.79,,,,,,
2010-01-26,73.29,73.88,74.55,14.07,33.93,41.34,,,,,,
2010-01-27,72.24,72.86,73.54,13.02,32.91,40.33,,,,,,
2010-01-28,72.13,72.78,73.47,12.91,32.83,40.26,,,,,,
2010-01-29,71.46,72.08,72.76,12.24,32.13,39.55,,,,,,
2010-02-01,73.11,73.71,74.38,13.89,33.76,41.17,,,,,,
2010-02-02,76.06,76.62,77.27,16.84,36.67,44.06,,,,,,
2010-02-03,75.92,76.39,77.02,16.7,36.44,43.81,,,,,,
2010-02-04,72.13,72.49,73.08,12.91,32.54,39.87,,,,,,
2010-02-05,69.59,70.08,70.7,10.37,30.13,37.49,,,,,,
2010-02-08,70.11,70.66,71.29,10.89,30.71,38.08,,,,,,
2010-02-09,72.13,72.67,73.3,12.91,32.72,40.09,,,,,,
2010-02-10,72.54,73.12,73.69,13.36,33.11,40.44,,,,,,
2010-02-11,73.05,74.12,74.71,14.36,34.13,41.46,,,,,,
2010-02-12,72.9,73.42,73.97,13.14,32.84,40.13,,,,,,
2010-02-15,72.51,73.02,73.58,12.75,32.44,39.74,,,,,,
2010-02-16,75.68,76.18,76.72,15.92,35.6,42.88,,,,,,
2010-02-17,76.27,76.69,77.18,16.51,36.11,43.34,,,,,,
2010-02-18,77.78,78.17,78.66,18.02,37.59,44.82,,,,,,
2010-02-19,78.19,78.63,79.17,18.43,38.05,45.33,,,,,,
2010-02-22,78.61,79.08,79.64,18.85,38.5,45.8,,,,,,
2010-02-23,77.25,77.63,78.15,17.49,37.05,44.31,,,,,,
2010-02-24,78.09,78.47,78.99,18.33,37.89,45.15,,,,,,
2010-02-25,76.29,76.68,77.21,16.53,36.1,43.37,,,,,,
2010-02-26,77.59,77.97,78.49,17.83,37.39,44.65,,,,,,
2010-03-01,76.89,77.22,77.7,17.13,36.64,43.86,,,,,,
2010-03-02,78.18,78.45,78.88,18.42,37.87,45.04,,,,,,
2010-03-03,79.25,79.54,79.95,19.49,38.96,46.11,,,,,,
2010-03-04,78.54,78.89,79.37,18.78,38.31,45.53,,,,,,
2010-03-05,79.89,80.17,80.61,20.13,39.59,46.77,,,,,,
2010-03-08,80.47,80.67,81.11,20.71,40.09,47.27,,,,,,
2010-03-09,79.91,80.14,80.57,20.15,39.56,46.73,,,,,,
2010-03-10,80.48,80.79,81.19,20.72,40.21,47.35,,,,,,
2010-03-11,80.28,80.77,81.19,20.52,40.19,47.35,,,,,,
2010-03-12,79.39,79.96,80.37,19.63,39.38,46.53,,,,,,
2010-03-15,77.89,78.63,79.04,18.3,38.05,45.18,,,,,,
2010-03-16,79.02,80.53,80.87,20.2,39.88,46.95,,,,,,
2010-03-17,81.96,82.22,82.51,21.63,41.23,48.24,,,,,,
2010-03-18,81.48,81.81,82.17,21.15,40.82,47.9,,,,,,
2010-03-19,79.88,80.26,80.67,19.55,39.27,46.4,,,,,,
2010-03-22,80.54,80.89,81.29,20.21,39.9,47.02,,,,,,
2010-03-23,80.7,81.1,81.51,20.37,40.11,47.24,,,,,,
2010-03-24,79.62,80.07,80.53,19.29,39.08,46.26,,,,,,
2010-03-25,79.61,80.1,80.57,19.28,39.11,46.3,,,,,,
2010-03-26,79.29,79.73,80.18,18.96,38.74,45.91,,,,,,
2010-03-29,81.17,81.57,82.0,20.84,40.58,47.73,,,,,,
2010-03-30,81.28,81.78,82.26,20.95,40.79,47.99,,,,,,
2010-03-31,82.7,83.25,83.7,22.37,42.26,49.43,,,,,,
2010-04-01,84.01,84.55,84.99,23.68,43.56,50.72,,,,,,
2010-04-05,85.88,86.42,86.87,25.55,45.43,52.6,,,,,,
2010-04-06,86.15,86.7,87.16,25.82,45.71,52.89,,,,,,
2010-04-07,85.59,86.2,86.73,25.26,45.21,52.46,,,,,,
2010-04-08,84.81,85.54,86.17,24.48,44.55,51.9,,,,,,
2010-04-09,84.83,85.64,86.3,24.5,44.65,52.03,,,,,,
2010-04-12,84.77,85.71,86.44,24.44,44.72,52.17,,,,,,
2010-04-13,84.72,85.63,86.25,24.39,44.64,51.98,,,,,,
2010-04-14,86.15,86.9,87.46,25.66,45.85,53.16,,,,,,
2010-04-15,87.17,87.59,88.2,26.35,46.59,53.95,,,,,,
2010-04-16,85.99,86.63,87.19,24.75,45.02,52.43,,,,,,
