,CO1 Comdty ,CO2 Comdty ,CO3 Comdty,S:COCO 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2010-01-04,122637.0,75117.0,26046.0,
2010-01-05,131754.0,89390.0,31572.0,
2010-01-06,157872.0,103620.0,34822.0,
2010-01-07,131284.0,121735.0,47175.0,
2010-01-08,157485.0,142926.0,70888.0,
2010-01-11,137692.0,121746.0,44170.0,
2010-01-12,149357.0,156834.0,45289.0,
2010-01-13,105590.0,211553.0,65951.0,
2010-01-14,22475.0,163056.0,62316.0,
2010-01-15,144795.0,72680.0,26093.0,43724.0
2010-01-18,67291.0,28294.0,10541.0,16341.0
2010-01-19,202057.0,88538.0,37370.0,52978.0
2010-01-20,152765.0,56110.0,30736.0,27845.0
2010-01-21,176440.0,51217.0,33265.0,25595.0
2010-01-22,181079.0,47458.0,28709.0,26285.0
2010-01-25,144131.0,61792.0,28882.0,34937.0
2010-01-26,143555.0,75887.0,38542.0,37521.0
2010-01-27,173118.0,70408.0,29867.0,36985.0
2010-01-28,159036.0,74313.0,34303.0,39405.0
2010-01-29,151211.0,68672.0,33533.0,37415.0
2010-02-01,150864.0,85602.0,27366.0,52191.0
2010-02-02,191905.0,101459.0,39237.0,52820.0
2010-02-03,229625.0,142524.0,48377.0,78666.0
2010-02-04,248418.0,153258.0,61773.0,81363.0
2010-02-05,282105.0,179244.0,94841.0,92616.0
2010-02-08,160464.0,114972.0,49109.0,57624.0
2010-02-09,178410.0,138487.0,54642.0,67889.0
2010-02-10,141051.0,176671.0,56527.0,72469.0
2010-02-11,21155.0,196299.0,65584.0,15087.0
2010-02-12,160818.0,62790.0,48054.0,34645.0
2010-02-15,48131.0,20980.0,8410.0,14300.0
2010-02-16,149990.0,55167.0,39421.0,32181.0
2010-02-17,178799.0,98776.0,55396.0,52014.0
2010-02-18,186456.0,90311.0,60224.0,51759.0
2010-02-19,165165.0,73891.0,49413.0,39405.0
2010-02-22,142726.0,93855.0,49142.0,57022.0
2010-02-23,179348.0,99746.0,59871.0,57034.0
2010-02-24,153140.0,78340.0,45777.0,33711.0
2010-02-25,174397.0,91629.0,56599.0,42856.0
2010-02-26,145252.0,72439.0,43735.0,32135.0
2010-03-01,136794.0,76650.0,38196.0,38391.0
2010-03-02,217312.0,178787.0,97289.0,96845.0
2010-03-03,174628.0,141478.0,65977.0,76881.0
2010-03-04,186728.0,167294.0,83804.0,91460.0
2010-03-05,153680.0,119402.0,63554.0,59069.0
2010-03-08,143115.0,134206.0,74493.0,55451.0
2010-03-09,130845.0,116337.0,91544.0,41257.0
2010-03-10,179448.0,160084.0,87450.0,72640.0
2010-03-11,137058.0,156284.0,80791.0,69894.0
2010-03-12,111578.0,142387.0,63421.0,57850.0
2010-03-15,77785.0,171783.0,62468.0,48631.0
2010-03-16,17215.0,177931.0,83812.0,14146.0
2010-03-17,160966.0,106921.0,32757.0,55001.0
2010-03-18,142552.0,87234.0,35659.0,43630.0
2010-03-19,170942.0,86379.0,33170.0,45970.0
2010-03-22,159627.0,61551.0,17068.0,35062.0
2010-03-23,147441.0,80100.0,31891.0,47970.0
2010-03-24,174440.0,95781.0,38622.0,51154.0
2010-03-25,167681.0,108004.0,42074.0,62109.0
2010-03-26,159170.0,81681.0,40702.0,35822.0
2010-03-29,137929.0,67946.0,30027.0,31576.0
2010-03-30,139991.0,83903.0,46314.0,44590.0
2010-03-31,152047.0,93808.0,41221.0,46219.0
2010-04-01,132419.0,88454.0,33127.0,42765.0
2010-04-05,61252.0,33831.0,13764.0,13255.0
2010-04-06,119371.0,82907.0,27995.0,34186.0
2010-04-07,152655.0,118711.0,40607.0,56921.0
2010-04-08,157315.0,133024.0,54092.0,58224.0
2010-04-09,154816.0,168659.0,68632.0,75687.0
2010-04-12,139422.0,188215.0,65238.0,72886.0
2010-04-13,121589.0,220030.0,86778.0,59608.0
2010-04-14,101211.0,241633.0,84241.0,69003.0
2010-04-15,18896.0,175438.0,62010.0,17518.0
2010-04-16,200556.0,84043.0,31393.0,45059.0
2010-04-19,200188.0,87075.0,34976.0,50317.0
2010-04-20,164015.0,68622.0,27868.0,36698.0
2010-04-21,207887.0,84330.0,34162.0,39538.0
2010-04-22,220268.0,87361.0,47578.0,44692.0
2010-04-23,150138.0,67972.0,31877.0,35735.0
2010-04-26,125025.0,59459.0,26945.0,27566.0
2010-04-27,189602.0,107926.0,49629.0,54746.0
2010-04-28,187868.0,100963.0,48308.0,45492.0
2010-04-29,157008.0,106836.0,53639.0,42863.0
2010-04-30,162736.0,114452.0,51708.0,50453.0
2010-05-03,94348.0,51511.0,18704.0,23155.0
2010-05-04,194514.0,130962.0,46207.0,65822.0
2010-05-05,224320.0,144236.0,49970.0,67306.0
2010-05-06,231806.0,157606.0,57199.0,70607.0
2010-05-07,230378.0,152540.0,60017.0,69436.0
2010-05-10,173960.0,158829.0,57919.0,71645.0
2010-05-11,153994.0,167149.0,75434.0,67609.0
2010-05-12,120959.0,198247.0,93877.0,60903.0
2010-05-13,120461.0,236686.0,71260.0,78884.0
2010-05-14,27811.0,230291.0,68458.0,14609.0
2010-05-17,200850.0,62264.0,26017.0,35911.0
2010-05-18,216552.0,105686.0,43487.0,60483.0
2010-05-19,224492.0,93020.0,47119.0,51408.0
2010-05-20,243991.0,98137.0,52003.0,56116.0
2010-05-21,183163.0,57749.0,32729.0,32895.0
2010-05-24,137702.0,56346.0,31602.0,34294.0
2010-05-25,192340.0,79908.0,38049.0,47155.0
2010-05-26,168443.0,69523.0,34355.0,36226.0
2010-05-27,169289.0,73144.0,34254.0,41440.0
2010-05-28,142577.0,62220.0,32163.0,29989.0
2010-05-31,14776.0,5824.0,2814.0,3378.0
2010-06-01,203027.0,90653.0,35560.0,53879.0
2010-06-02,176173.0,98503.0,42200.0,45299.0
2010-06-03,171232.0,105540.0,47901.0,53159.0
2010-06-04,177341.0,99671.0,46716.0,46748.0
2010-06-07,140827.0,75820.0,43600.0,32717.0
2010-06-08,154485.0,102456.0,48717.0,50015.0
2010-06-09,142450.0,120297.0,53776.0,52162.0
2010-06-10,160432.0,141554.0,58984.0,66313.0
2010-06-11,154979.0,154783.0,45294.0,81153.0
2010-06-14,183183.0,243034.0,49974.0,121857.0
2010-06-15,24506.0,184568.0,65181.0,22544.0
2010-06-16,162546.0,63741.0,25558.0,37760.0
2010-06-17,179204.0,75320.0,31151.0,38057.0
2010-06-18,119762.0,48301.0,25097.0,27608.0
2010-06-21,149054.0,78401.0,27047.0,42072.0
2010-06-22,122999.0,45564.0,17196.0,27951.0
2010-06-23,164564.0,64702.0,23537.0,36371.0
2010-06-24,146527.0,73358.0,21889.0,43989.0
2010-06-25,158177.0,59267.0,28010.0,36679.0
2010-06-28,114960.0,63245.0,26113.0,33924.0
2010-06-29,168850.0,86179.0,40158.0,46239.0
2010-06-30,207087.0,113967.0,37284.0,64523.0
2010-07-01,211211.0,121253.0,41489.0,68255.0
2010-07-02,136170.0,74007.0,25642.0,42569.0
2010-07-05,46916.0,23508.0,6108.0,16185.0
2010-07-06,134113.0,81935.0,32735.0,40315.0
2010-07-07,148095.0,106626.0,40486.0,56469.0
2010-07-08,147165.0,124868.0,46864.0,53740.0
2010-07-09,123288.0,130607.0,57770.0,57253.0
2010-07-12,109330.0,117543.0,57109.0,47961.0
2010-07-13,124047.0,192147.0,75078.0,69383.0
2010-07-14,70918.0,163094.0,58074.0,47487.0
2010-07-15,13595.0,163906.0,40875.0,11196.0
2010-07-16,124966.0,40713.0,13513.0,25993.0
2010-07-19,146290.0,45129.0,14495.0,27312.0
2010-07-20,150782.0,66021.0,23844.0,38083.0
2010-07-21,150599.0,61189.0,20466.0,34600.0
2010-07-22,167710.0,69162.0,20688.0,39843.0
2010-07-23,119509.0,43328.0,13862.0,23641.0
2010-07-26,98282.0,30860.0,11480.0,16467.0
2010-07-27,167505.0,54891.0,19437.0,28298.0
2010-07-28,159859.0,66648.0,26648.0,31867.0
2010-07-29,209121.0,106880.0,41803.0,57760.0
2010-07-30,156377.0,92671.0,37647.0,50403.0
2010-08-02,152055.0,77243.0,40656.0,42752.0
2010-08-03,197746.0,139712.0,58586.0,72189.0
2010-08-04,163167.0,125533.0,46146.0,67509.0
2010-08-05,119305.0,82324.0,33220.0,41602.0
2010-08-06,145823.0,104695.0,50291.0,44756.0
2010-08-09,105323.0,76407.0,36752.0,34864.0
2010-08-10,181384.0,150088.0,56057.0,63613.0
2010-08-11,141997.0,110966.0,39210.0,52234.0
2010-08-12,170675.0,180252.0,72802.0,71476.0
2010-08-13,123247.0,182584.0,47124.0,83698.0
2010-08-16,22084.0,136503.0,41595.0,18983.0
2010-08-17,167824.0,65004.0,66277.0,38542.0
2010-08-18,173611.0,66142.0,56595.0,38249.0
2010-08-19,146843.0,49281.0,45625.0,26806.0
2010-08-20,120712.0,46092.0,37888.0,27083.0
2010-08-23,132873.0,44352.0,39170.0,29310.0
2010-08-24,191921.0,83656.0,57707.0,58007.0
2010-08-25,189414.0,79861.0,62882.0,48919.0
2010-08-26,181356.0,73387.0,67426.0,39754.0
2010-08-27,188036.0,71831.0,63480.0,37429.0
2010-08-30,74833.0,36535.0,36011.0,16216.0
2010-08-31,192821.0,95854.0,83265.0,44459.0
2010-09-01,159766.0,77381.0,56074.0,41366.0
2010-09-02,167831.0,99949.0,78821.0,45992.0
2010-09-03,164460.0,82120.0,63099.0,43722.0
2010-09-06,62903.0,41354.0,21730.0,25019.0
2010-09-07,205669.0,141296.0,99316.0,70486.0
2010-09-08,204521.0,167371.0,95477.0,96168.0
2010-09-09,143968.0,126178.0,89671.0,53739.0
2010-09-10,134036.0,154547.0,107787.0,67979.0
2010-09-13,113936.0,161378.0,91298.0,64326.0
2010-09-14,91965.0,184644.0,94225.0,54816.0
2010-09-15,17660.0,177996.0,93321.0,14100.0
2010-09-16,161823.0,114571.0,41498.0,58435.0
2010-09-17,155078.0,86743.0,23037.0,44844.0
2010-09-20,145672.0,81628.0,23136.0,44866.0
2010-09-21,161032.0,108575.0,28835.0,57266.0
2010-09-22,157507.0,97267.0,26527.0,43510.0
2010-09-23,169286.0,95970.0,22176.0,44264.0
2010-09-24,143240.0,85065.0,27665.0,38462.0
2010-09-27,146394.0,90650.0,30568.0,43985.0
2010-09-28,175700.0,111505.0,37153.0,57600.0
2010-09-29,187726.0,116834.0,36645.0,59154.0
2010-09-30,173945.0,129420.0,38860.0,53412.0
2010-10-01,153512.0,111838.0,45864.0,49209.0
2010-10-04,141040.0,113940.0,44672.0,49483.0
2010-10-05,153860.0,125587.0,45481.0,56527.0
2010-10-06,155267.0,152022.0,63398.0,57742.0
2010-10-07,216161.0,165729.0,72536.0,73399.0
2010-10-08,169163.0,153936.0,42002.0,70772.0
2010-10-11,108238.0,135450.0,54274.0,62119.0
2010-10-12,143197.0,171934.0,49616.0,70115.0
2010-10-13,107293.0,203953.0,68280.0,71108.0
2010-10-14,27957.0,206887.0,66760.0,20958.0
2010-10-15,222428.0,95440.0,32487.0,65458.0
2010-10-18,182884.0,62106.0,20865.0,43260.0
2010-10-19,245999.0,84896.0,31451.0,55601.0
2010-10-20,212207.0,72368.0,23346.0,40302.0
2010-10-21,208824.0,71771.0,20919.0,47256.0
2010-10-22,142017.0,52161.0,15908.0,31448.0
2010-10-25,199144.0,63196.0,24476.0,39624.0
2010-10-26,153047.0,61123.0,23903.0,36770.0
2010-10-27,187589.0,63980.0,25086.0,33926.0
2010-10-28,167934.0,78865.0,35870.0,43389.0
2010-10-29,197774.0,89031.0,37312.0,52406.0
2010-11-01,212003.0,121644.0,38766.0,73883.0
2010-11-02,176791.0,118154.0,36870.0,74746.0
2010-11-03,195888.0,111369.0,47851.0,59596.0
2010-11-04,150413.0,104600.0,47454.0,48094.0
2010-11-05,130757.0,91190.0,46299.0,43210.0
2010-11-08,127019.0,78111.0,38147.0,34703.0
2010-11-09,200879.0,119090.0,75165.0,61257.0
2010-11-10,182378.0,128097.0,57547.0,55062.0
2010-11-11,165062.0,164776.0,63157.0,81416.0
