,QS1 Comdty ,QS1 Comdty ,QS2 Comdty ,QS2 Comdty ,QS3 Comdty ,QS3 Comdty 
,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT
2010-01-01,,547076.0,,547076.0,,547076.0
2010-01-04,82415.0,555116.0,120356.0,555116.0,56193.0,555116.0
2010-01-05,79699.0,578586.0,134352.0,578586.0,62439.0,578586.0
2010-01-06,72105.0,563107.0,130720.0,563107.0,58861.0,563107.0
2010-01-07,58990.0,562364.0,135984.0,562364.0,62434.0,562364.0
2010-01-08,45104.0,563302.0,141519.0,563302.0,67201.0,563302.0
2010-01-11,20180.0,549836.0,142055.0,549836.0,75049.0,549836.0
2010-01-12,4830.0,548429.0,143068.0,548429.0,82992.0,548429.0
2010-01-13,134833.0,556437.0,98455.0,556437.0,46593.0,556437.0
2010-01-14,122690.0,552631.0,105529.0,552631.0,46582.0,552631.0
2010-01-15,119416.0,553175.0,103849.0,553175.0,46868.0,553175.0
2010-01-18,118369.0,556537.0,105886.0,556537.0,46783.0,556537.0
2010-01-19,112133.0,553363.0,110325.0,553363.0,44710.0,553363.0
2010-01-20,109077.0,559397.0,110821.0,559397.0,49948.0,559397.0
2010-01-21,107795.0,559156.0,110091.0,559156.0,50614.0,559156.0
2010-01-22,103768.0,577757.0,124959.0,577757.0,54154.0,577757.0
2010-01-25,100120.0,588060.0,128913.0,588060.0,56373.0,588060.0
2010-01-26,100506.0,608585.0,136221.0,608585.0,61070.0,608585.0
2010-01-27,99264.0,612897.0,129738.0,612897.0,64524.0,612897.0
2010-01-28,97929.0,624920.0,133548.0,624920.0,68346.0,624920.0
2010-01-29,89795.0,625930.0,138052.0,625930.0,70525.0,625930.0
2010-02-01,88410.0,653279.0,155790.0,653279.0,77097.0,653279.0
2010-02-02,83919.0,660490.0,163351.0,660490.0,82570.0,660490.0
2010-02-03,79754.0,663414.0,169210.0,663414.0,83877.0,663414.0
2010-02-04,74478.0,661445.0,169714.0,661445.0,86126.0,661445.0
2010-02-05,69448.0,662535.0,168085.0,662535.0,90264.0,662535.0
2010-02-08,62794.0,670822.0,172879.0,670822.0,97224.0,670822.0
2010-02-09,53126.0,669992.0,170069.0,669992.0,104414.0,669992.0
2010-02-10,17849.0,650650.0,175674.0,650650.0,110287.0,650650.0
2010-02-11,4993.0,632417.0,164668.0,632417.0,110939.0,632417.0
2010-02-12,166227.0,635756.0,115246.0,635756.0,58837.0,635756.0
2010-02-15,162294.0,629709.0,112935.0,629709.0,58327.0,629709.0
2010-02-16,154536.0,627330.0,113879.0,627330.0,60127.0,627330.0
2010-02-17,146242.0,614600.0,107680.0,614600.0,59064.0,614600.0
2010-02-18,148840.0,617220.0,107645.0,617220.0,60723.0,617220.0
2010-02-19,146417.0,619580.0,109863.0,619580.0,63572.0,619580.0
2010-02-22,146683.0,626843.0,113068.0,626843.0,65096.0,626843.0
2010-02-23,142315.0,629243.0,116392.0,629243.0,65887.0,629243.0
2010-02-24,133017.0,628575.0,114009.0,628575.0,69340.0,628575.0
2010-02-25,119753.0,621014.0,115718.0,621014.0,71917.0,621014.0
2010-02-26,106550.0,613152.0,111962.0,613152.0,77243.0,613152.0
2010-03-01,102663.0,613830.0,114716.0,613830.0,76007.0,613830.0
2010-03-02,94103.0,611885.0,116241.0,611885.0,78178.0,611885.0
2010-03-03,84260.0,596929.0,115159.0,596929.0,72783.0,596929.0
2010-03-04,78194.0,600740.0,118456.0,600740.0,72662.0,600740.0
2010-03-05,74523.0,598438.0,116232.0,598438.0,74202.0,598438.0
2010-03-08,65492.0,596051.0,121441.0,596051.0,75972.0,596051.0
2010-03-09,47693.0,598300.0,123241.0,598300.0,87327.0,598300.0
2010-03-10,15842.0,575880.0,124843.0,575880.0,91764.0,575880.0
2010-03-11,1876.0,575399.0,127175.0,575399.0,100059.0,575399.0
2010-03-12,124423.0,579217.0,105122.0,579217.0,69581.0,579217.0
2010-03-15,123981.0,580077.0,104505.0,580077.0,70345.0,580077.0
2010-03-16,115989.0,568145.0,101199.0,568145.0,64889.0,568145.0
2010-03-17,107039.0,556535.0,99308.0,556535.0,66628.0,556535.0
2010-03-18,104694.0,559872.0,102172.0,559872.0,68619.0,559872.0
2010-03-19,104193.0,564504.0,103926.0,564504.0,67036.0,564504.0
2010-03-22,99765.0,570144.0,106325.0,570144.0,71136.0,570144.0
2010-03-23,98220.0,575190.0,109034.0,575190.0,71130.0,575190.0
2010-03-24,92389.0,577951.0,110777.0,577951.0,73329.0,577951.0
2010-03-25,86229.0,580174.0,112734.0,580174.0,76418.0,580174.0
2010-03-26,81061.0,575873.0,110214.0,575873.0,78466.0,575873.0
2010-03-29,74926.0,573653.0,112772.0,573653.0,79439.0,573653.0
2010-03-30,78104.0,590327.0,117245.0,590327.0,82561.0,590327.0
2010-03-31,77414.0,587083.0,116653.0,587083.0,78166.0,587083.0
2010-04-01,71007.0,,116837.0,,78336.0,
2010-04-05,71007.0,587918.0,116837.0,587918.0,78336.0,587918.0
2010-04-06,62516.0,574251.0,114313.0,574251.0,76453.0,574251.0
2010-04-07,52843.0,578694.0,119475.0,578694.0,80543.0,578694.0
2010-04-08,38476.0,572326.0,125300.0,572326.0,81660.0,572326.0
2010-04-09,16237.0,560374.0,129378.0,560374.0,83073.0,560374.0
2010-04-12,2064.0,554335.0,132439.0,554335.0,86925.0,554335.0
2010-04-13,121258.0,567515.0,108588.0,567515.0,47998.0,567515.0
2010-04-14,115516.0,576144.0,120843.0,576144.0,49013.0,576144.0
2010-04-15,108841.0,565559.0,118362.0,565559.0,49100.0,565559.0
2010-04-16,106513.0,566426.0,118827.0,566426.0,49200.0,566426.0
2010-04-19,108372.0,567981.0,118195.0,567981.0,47722.0,567981.0
2010-04-20,106682.0,570659.0,116286.0,570659.0,49506.0,570659.0
2010-04-21,100875.0,576951.0,116512.0,576951.0,51982.0,576951.0
2010-04-22,98230.0,568793.0,111937.0,568793.0,52651.0,568793.0
2010-04-23,94268.0,570834.0,115750.0,570834.0,52757.0,570834.0
2010-04-26,91461.0,570314.0,118332.0,570314.0,53552.0,570314.0
2010-04-27,91324.0,576113.0,122821.0,576113.0,53843.0,576113.0
2010-04-28,84964.0,575483.0,119176.0,575483.0,57907.0,575483.0
2010-04-29,85242.0,582655.0,123329.0,582655.0,56195.0,582655.0
2010-05-03,68430.0,569997.0,119424.0,569997.0,59738.0,569997.0
2010-05-04,60255.0,564482.0,122604.0,564482.0,54622.0,564482.0
2010-05-05,50980.0,557429.0,120214.0,557429.0,54781.0,557429.0
2010-05-06,43108.0,548537.0,117479.0,548537.0,56652.0,548537.0
2010-05-07,36164.0,536304.0,110036.0,536304.0,56921.0,536304.0
2010-05-10,26251.0,527847.0,106643.0,527847.0,62095.0,527847.0
2010-05-11,11176.0,525071.0,111637.0,525071.0,64541.0,525071.0
2010-05-12,1419.0,516806.0,109370.0,516806.0,71019.0,516806.0
2010-05-13,103892.0,518958.0,78324.0,518958.0,33539.0,518958.0
2010-05-14,105445.0,526447.0,79088.0,526447.0,33329.0,526447.0
