,QS1,QS2,QS3,QS1 R:02_0_D,QS2 R:02_0_D,QS3 R:02_0_D,.GOCOMN,.GOCOML,.GOCOMS,.GOMMN,.GOMML,.GOMMS
2010-01-04,653.75,659.75,665.5,-114.0,173.0,251.25,,,,,,
2010-01-05,659.25,665.25,671.0,-108.5,178.5,256.75,,,,,,
2010-01-06,661.75,668.5,674.75,-106.0,181.75,260.5,,,,,,
2010-01-07,660.25,667.75,674.0,-107.5,181.0,259.75,,,,,,
2010-01-08,656.25,663.5,669.75,-111.5,176.75,255.5,,,,,,
2010-01-11,657.0,664.0,669.75,-111.0,176.75,255.5,,,,,,
2010-01-12,657.0,658.25,664.0,-116.75,171.0,249.5,,,,,,
2010-01-13,636.0,642.75,648.5,-139.0,149.75,228.75,,,,,,
2010-01-14,636.25,643.25,649.25,-138.75,150.25,229.5,,,,,,
2010-01-15,630.0,637.0,643.0,-145.0,144.0,223.25,,,,,,
2010-01-18,623.5,630.75,637.0,-151.5,137.75,217.25,,,,,,
2010-01-19,615.5,623.25,630.0,-159.5,130.25,210.25,,,,,,
2010-01-20,614.25,621.75,628.5,-160.75,128.75,208.75,,,,,,
2010-01-21,612.25,619.5,626.0,-162.75,126.5,206.25,,,,,,
2010-01-22,597.5,605.0,611.75,-177.5,112.0,192.0,,,,,,
2010-01-25,594.25,601.75,608.5,-180.75,108.75,188.75,,,,,,
2010-01-26,596.25,603.5,609.75,-178.75,110.5,190.0,,,,,,
2010-01-27,597.25,604.0,609.5,-177.75,111.0,189.75,,,,,,
2010-01-28,583.5,590.0,595.75,-191.5,97.0,176.0,,,,,,
2010-01-29,586.5,593.25,599.25,-188.5,100.25,179.5,,,,,,
2010-02-01,586.5,593.5,599.75,-188.5,100.5,180.0,,,,,,
2010-02-02,602.25,609.0,615.25,-172.75,116.0,195.5,,,,,,
2010-02-03,617.25,624.0,630.25,-157.75,131.0,210.5,,,,,,
2010-02-04,588.25,595.5,602.0,-186.75,102.5,182.25,,,,,,
