,QS1 Comdty ,QS2 Comdty ,QS3 Comdty ,S:QSQS 1-2 Comdty
,VOLUME,VOLUME,VOLUME,VOLUME
2010-01-04,58068.0,71012.0,26326.0,26838.0
2010-01-05,45221.0,73241.0,29102.0,19742.0
2010-01-06,47088.0,75012.0,31728.0,21670.0
2010-01-07,42607.0,78371.0,37930.0,23581.0
2010-01-08,44286.0,80239.0,31008.0,23467.0
2010-01-11,52102.0,96935.0,38968.0,32778.0
2010-01-12,13590.0,100321.0,56404.0,12430.0
2010-01-13,111342.0,94651.0,30840.0,56839.0
2010-01-14,64799.0,51140.0,17195.0,23421.0
2010-01-15,49582.0,47013.0,13472.0,19255.0
2010-01-18,23467.0,25344.0,12136.0,10438.0
2010-01-19,62857.0,63549.0,17102.0,27373.0
2010-01-20,46676.0,53812.0,16398.0,18380.0
2010-01-21,59967.0,67651.0,21197.0,23102.0
2010-01-22,60037.0,61679.0,18690.0,25223.0
2010-01-25,49813.0,51511.0,12291.0,17466.0
2010-01-26,42311.0,53723.0,19763.0,13962.0
2010-01-27,57981.0,81961.0,28428.0,30105.0
2010-01-28,42254.0,71139.0,38533.0,18455.0
2010-01-29,42354.0,60733.0,15915.0,21504.0
2010-02-01,44855.0,73849.0,32056.0,22295.0
2010-02-02,48055.0,88931.0,34910.0,21640.0
2010-02-03,45809.0,75193.0,24763.0,20256.0
2010-02-04,44920.0,82325.0,21459.0,15670.0
2010-02-05,35523.0,94357.0,37243.0,14674.0
2010-02-08,31481.0,67893.0,22033.0,13758.0
2010-02-09,42374.0,109006.0,59747.0,24464.0
2010-02-10,55728.0,107976.0,58605.0,35346.0
2010-02-11,16613.0,99766.0,64421.0,15220.0
2010-02-12,57595.0,41796.0,16418.0,15469.0
2010-02-15,18707.0,15897.0,6955.0,7489.0
2010-02-16,55936.0,46153.0,11216.0,21664.0
2010-02-17,41367.0,35546.0,19286.0,10264.0
2010-02-18,47966.0,48758.0,17018.0,8975.0
2010-02-19,70893.0,75431.0,22714.0,35188.0
2010-02-22,56852.0,64051.0,27747.0,22232.0
2010-02-23,53337.0,78972.0,35244.0,26242.0
2010-02-24,52261.0,76989.0,19500.0,26635.0
2010-02-25,80665.0,95634.0,28313.0,37927.0
2010-02-26,63452.0,102292.0,43026.0,36580.0
2010-03-01,51424.0,80812.0,26668.0,33472.0
2010-03-02,65438.0,93601.0,35240.0,38922.0
2010-03-03,45034.0,79572.0,40007.0,26878.0
2010-03-04,33232.0,74935.0,38516.0,17893.0
