,HO1 Comdty ,HO1 Comdty ,HO2 Comdty ,HO2 Comdty ,HO3 Comdty,HO3 Comdty
,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT
2010-01-04,94566.0,308295.0,52680.0,308295.0,29217.0,308295.0
2010-01-05,99281.0,317155.0,54168.0,317155.0,30198.0,317155.0
2010-01-06,97560.0,321030.0,56249.0,321030.0,31905.0,321030.0
2010-01-07,94206.0,325326.0,59588.0,325326.0,33703.0,325326.0
2010-01-08,89577.0,323921.0,62760.0,323921.0,32983.0,323921.0
2010-01-11,84511.0,329151.0,68361.0,329151.0,34226.0,329151.0
2010-01-12,79246.0,332408.0,71483.0,332408.0,35262.0,332408.0
2010-01-13,72003.0,326399.0,72340.0,326399.0,34733.0,326399.0
2010-01-14,67940.0,321205.0,73311.0,321205.0,34219.0,321205.0
2010-01-15,59037.0,315789.0,76963.0,315789.0,34368.0,315789.0
2010-01-19,50811.0,311199.0,79741.0,311199.0,34408.0,311199.0
2010-01-20,47926.0,310895.0,80517.0,310895.0,35127.0,310895.0
2010-01-21,47298.0,314626.0,83275.0,314626.0,35659.0,314626.0
2010-01-22,39381.0,315060.0,87534.0,315060.0,35377.0,315060.0
2010-01-25,33934.0,315256.0,91552.0,315256.0,35330.0,315256.0
2010-01-26,25186.0,315328.0,95952.0,315328.0,36538.0,315328.0
2010-01-27,17920.0,314589.0,95977.0,314589.0,38006.0,314589.0
2010-01-28,9918.0,310886.0,96530.0,310886.0,39012.0,310886.0
2010-01-29,2996.0,307093.0,99204.0,307093.0,38678.0,307093.0
2010-02-01,101907.0,312497.0,40380.0,312497.0,28814.0,312497.0
2010-02-02,98486.0,312191.0,42791.0,312191.0,29452.0,312191.0
2010-02-03,96662.0,315773.0,46226.0,315773.0,30011.0,315773.0
2010-02-04,92629.0,313591.0,46814.0,313591.0,30021.0,313591.0
2010-02-05,85110.0,311654.0,48946.0,311654.0,30940.0,311654.0
2010-02-08,80819.0,311969.0,49600.0,311969.0,32046.0,311969.0
2010-02-09,76050.0,313712.0,52836.0,313712.0,33127.0,313712.0
2010-02-10,70740.0,312262.0,53390.0,312262.0,35783.0,312262.0
2010-02-11,64475.0,306480.0,52665.0,306480.0,36672.0,306480.0
2010-02-12,58747.0,304031.0,54288.0,304031.0,36876.0,304031.0
2010-02-16,53705.0,300777.0,55330.0,300777.0,36475.0,300777.0
2010-02-17,49114.0,298800.0,57035.0,298800.0,36091.0,298800.0
2010-02-18,42371.0,299565.0,61270.0,299565.0,37503.0,299565.0
2010-02-19,38071.0,301289.0,66864.0,301289.0,37887.0,301289.0
2010-02-22,32183.0,306863.0,73667.0,306863.0,39188.0,306863.0
2010-02-23,23351.0,304732.0,76630.0,304732.0,41225.0,304732.0
2010-02-24,16255.0,305030.0,77914.0,305030.0,43835.0,305030.0
2010-02-25,7213.0,299658.0,76893.0,299658.0,45661.0,299658.0
2010-02-26,,298211.0,79215.0,298211.0,46138.0,298211.0
2010-03-01,76774.0,299392.0,48017.0,299392.0,47062.0,299392.0
2010-03-02,75775.0,300498.0,49519.0,300498.0,46503.0,300498.0
2010-03-03,80409.0,308625.0,51452.0,308625.0,46329.0,308625.0
2010-03-04,79496.0,311945.0,54659.0,311945.0,47633.0,311945.0
2010-03-05,78199.0,314751.0,58078.0,314751.0,48679.0,314751.0
2010-03-08,76595.0,317520.0,61699.0,317520.0,49148.0,317520.0
2010-03-09,72973.0,318425.0,63605.0,318425.0,50042.0,318425.0
2010-03-10,69167.0,317566.0,66589.0,317566.0,48504.0,317566.0
2010-03-11,66234.0,322838.0,70422.0,322838.0,49498.0,322838.0
2010-03-12,63545.0,323156.0,70355.0,323156.0,50812.0,323156.0
2010-03-15,59272.0,322542.0,71376.0,322542.0,51688.0,322542.0
2010-03-16,58762.0,328460.0,73642.0,328460.0,51574.0,328460.0
2010-03-17,57717.0,330106.0,76610.0,330106.0,50906.0,330106.0
2010-03-18,53650.0,329435.0,80253.0,329435.0,51807.0,329435.0
2010-03-19,49210.0,325660.0,81046.0,325660.0,50921.0,325660.0
2010-03-22,42050.0,322063.0,83547.0,322063.0,51104.0,322063.0
2010-03-23,38619.0,326194.0,87254.0,326194.0,52371.0,326194.0
2010-03-24,33747.0,326458.0,90666.0,326458.0,51309.0,326458.0
2010-03-25,26068.0,322398.0,94024.0,322398.0,50729.0,322398.0
2010-03-26,20237.0,320223.0,95046.0,320223.0,50886.0,320223.0
2010-03-29,14543.0,322775.0,99915.0,322775.0,51599.0,322775.0
2010-03-30,8099.0,319299.0,100336.0,319299.0,53405.0,319299.0
2010-03-31,1689.0,318876.0,103881.0,318876.0,54523.0,318876.0
2010-04-01,106342.0,324185.0,56329.0,324185.0,29183.0,324185.0
2010-04-05,105328.0,324153.0,56554.0,324153.0,29033.0,324153.0
2010-04-06,102115.0,323223.0,59054.0,323223.0,28660.0,323223.0
2010-04-07,99144.0,322597.0,59558.0,322597.0,30066.0,322597.0
2010-04-08,93425.0,316911.0,58128.0,316911.0,31922.0,316911.0
2010-04-09,88287.0,315168.0,60947.0,315168.0,32525.0,315168.0
2010-04-12,81287.0,309281.0,62387.0,309281.0,32946.0,309281.0
2010-04-13,71978.0,298513.0,62950.0,298513.0,31145.0,298513.0
2010-04-14,71194.0,303197.0,65266.0,303197.0,31884.0,303197.0
2010-04-15,62004.0,302518.0,68569.0,302518.0,33511.0,302518.0
2010-04-16,56383.0,305069.0,71832.0,305069.0,34394.0,305069.0
2010-04-19,41495.0,301002.0,80387.0,301002.0,35470.0,301002.0
2010-04-20,34948.0,300329.0,85754.0,300329.0,35552.0,300329.0
2010-04-21,32438.0,301708.0,87682.0,301708.0,36002.0,301708.0
2010-04-22,30745.0,304603.0,90249.0,304603.0,36982.0,304603.0
2010-04-23,27098.0,305872.0,92363.0,305872.0,37448.0,305872.0
2010-04-26,22350.0,309389.0,98230.0,309389.0,38768.0,309389.0
2010-04-27,17987.0,309226.0,99400.0,309226.0,39100.0,309226.0
2010-04-28,13613.0,311078.0,102116.0,311078.0,39839.0,311078.0
2010-04-29,8863.0,311853.0,105314.0,311853.0,39567.0,311853.0
2010-04-30,,313223.0,109323.0,313223.0,41053.0,313223.0
2010-05-03,107238.0,314144.0,41557.0,314144.0,26530.0,314144.0
2010-05-04,101984.0,313413.0,43304.0,313413.0,27009.0,313413.0
2010-05-05,93180.0,308793.0,44563.0,308793.0,27291.0,308793.0
2010-05-06,86310.0,308196.0,46275.0,308196.0,27826.0,308196.0
2010-05-07,85113.0,316597.0,50166.0,316597.0,28373.0,316597.0
2010-05-10,76906.0,317009.0,53371.0,317009.0,29523.0,317009.0
2010-05-11,71376.0,316835.0,54752.0,316835.0,31063.0,316835.0
2010-05-12,68875.0,320304.0,56910.0,320304.0,31660.0,320304.0
2010-05-13,62515.0,320756.0,61387.0,320756.0,32695.0,320756.0
2010-05-14,56273.0,318340.0,62549.0,318340.0,33431.0,318340.0
2010-05-17,53411.0,319595.0,63783.0,319595.0,34114.0,319595.0
2010-05-18,50223.0,318322.0,66110.0,318322.0,34290.0,318322.0
2010-05-19,47661.0,317652.0,68512.0,317652.0,35240.0,317652.0
2010-05-20,39418.0,309449.0,68198.0,309449.0,35239.0,309449.0
2010-05-21,36137.0,308062.0,68656.0,308062.0,36432.0,308062.0
2010-05-24,29036.0,306954.0,72298.0,306954.0,37042.0,306954.0
