,HO1,HO2,HO3,HO1 R:02_0_D,HO2 R:02_0_D,HO3 R:02_0_D,.HOCOMN,.HOCOML,.HOCOMS,.HOMMN,.HOMML,.HOMMS
2010-01-04,219.05,219.26,219.12,-91.82,66.0,109.83,,,,,,
2010-01-05,219.41,220.07,219.96,-91.46,66.81,110.67,-143349.0,90015.0,233364.0,46774.0,66617.0,19843.0
2010-01-06,220.32,221.35,221.55,-90.55,68.09,112.26,,,,,,
2010-01-07,218.36,219.46,219.75,-92.51,66.2,110.46,,,,,,
2010-01-08,220.03,220.69,220.83,-90.84,67.43,111.54,,,,,,
2010-01-11,218.01,218.95,219.28,-92.86,65.69,109.99,,,,,,
2010-01-12,213.18,214.17,214.53,-97.69,60.91,105.24,-141146.0,98225.0,239371.0,45837.0,66680.0,20843.0
2010-01-13,209.46,210.49,210.92,-101.41,57.23,101.63,,,,,,
2010-01-14,208.29,209.21,209.76,-102.58,55.95,100.47,,,,,,
2010-01-15,204.6,205.79,206.44,-106.27,52.53,97.15,,,,,,
2010-01-19,204.54,205.9,206.76,-106.33,52.64,97.47,-129813.0,93966.0,223779.0,35681.0,55230.0,19549.0
2010-01-20,202.11,203.44,204.25,-108.76,50.18,94.96,,,,,,
2010-01-21,198.56,199.75,200.4,-112.31,46.49,91.11,,,,,,
2010-01-22,194.16,195.3,195.96,-116.71,42.04,86.67,,,,,,
2010-01-25,196.58,197.5,198.02,-114.29,44.24,88.73,,,,,,
2010-01-26,195.08,196.16,196.79,-115.79,42.9,87.5,-122456.0,97617.0,220073.0,25938.0,51051.0,25113.0
2010-01-27,191.68,192.67,193.34,-119.19,39.41,84.05,,,,,,
2010-01-28,191.91,192.9,193.52,-118.96,39.59,84.15,,,,,,
2010-01-29,190.29,191.3,191.94,-120.56,38.01,82.43,,,,,,
2010-02-01,195.49,196.05,196.69,-116.37,42.12,86.45,,,,,,
2010-02-02,203.17,203.79,204.41,-108.69,49.86,94.17,-117634.0,99092.0,216726.0,21841.0,49056.0,27215.0
2010-02-03,201.94,202.71,203.48,-109.92,48.78,93.24,,,,,,
2010-02-04,193.52,194.26,195.05,-118.34,40.33,84.81,,,,,,
2010-02-05,187.48,188.28,189.16,-124.38,34.35,78.92,,,,,,
2010-02-08,188.55,189.34,190.28,-123.31,35.41,80.04,,,,,,
2010-02-09,193.73,194.44,195.33,-118.13,40.51,85.09,-112615.0,103992.0,216607.0,15018.0,41871.0,26853.0
2010-02-10,194.69,195.42,196.25,-117.17,41.49,86.01,,,,,,
2010-02-11,196.3,197.12,197.97,-115.56,43.19,87.73,,,,,,
2010-02-12,191.89,192.88,193.97,-119.97,38.95,83.73,,,,,,
2010-02-16,199.63,200.59,201.61,-112.23,46.66,91.37,-112128.0,96347.0,208475.0,16515.0,42095.0,25580.0
