,HO1 Comdty ,HO2 Comdty ,HO3 Comdty,S:HOHO 1-2 Comdty
1/4/10,48021,24388,12179,10792
1/5/10,55496,24064,15621,11233
1/6/10,55249,21709,9768,11107
1/7/10,43317,18621,8986,9608
1/8/10,49594,22180,10456,10875
1/11/10,47380,24313,10666,12801
1/12/10,52123,23598,12859,11871
1/13/10,61810,34957,16615,16797
1/14/10,46069,27600,12957,13153
1/15/10,44877,27407,8994,13204
1/19/10,42810,39032,11959,16294
1/20/10,24901,32019,9132,10296
1/21/10,30250,49102,15020,13763
1/22/10,27948,48747,18531,12528
1/25/10,20809,37732,9695,10439
1/26/10,26608,45834,11822,12222
1/27/10,20334,58938,16929,11307
1/28/10,21677,49034,16306,10682
1/29/10,9785,45017,10290,8233
2/1/10,46044,11331,6270,6616
2/2/10,52681,14881,5543,8708
2/3/10,55424,21466,9629,12644
2/4/10,59532,19059,8717,10828
2/5/10,66558,25945,15110,14245
2/8/10,44145,16981,8430,8408
2/9/10,47978,18883,10587,10569
2/10/10,40534,20080,11446,9966
2/11/10,47830,22953,9101,13494
2/12/10,56076,25175,11239,13783
2/16/10,47736,20791,8087,11561
2/17/10,36345,19182,8065,9905
2/18/10,48878,31124,8670,15432
2/19/10,29472,33918,9420,11296
2/22/10,23892,34448,7243,11972
2/23/10,28045,44574,11366,13534
2/24/10,22084,48345,14204,12154
2/25/10,20788,57164,11377,12077
2/26/10,7060,49887,13440,6960
3/1/10,46042,12575,8897,7525
3/2/10,45248,16493,14704,8814
3/3/10,53766,19885,16838,9338
3/4/10,41462,18881,14929,7506
3/5/10,39459,15870,10128,7737
3/8/10,37655,16603,9972,8870
3/9/10,43082,19650,14075,8965
3/10/10,53420,24513,22359,12638
3/11/10,45710,21602,16305,12006
3/12/10,44572,14708,12574,7945
3/15/10,38758,11842,9570,6173
3/16/10,41682,20870,14769,9193
3/17/10,36562,19173,12614,9663
3/18/10,33539,19905,14692,10115
3/19/10,32431,35304,19710,12323
3/22/10,26596,36409,9671,14630
3/23/10,19711,34493,15132,11564
3/24/10,21765,43123,15208,11704
3/25/10,23150,39840,19966,11284
3/26/10,23240,52251,18193,11426
3/29/10,18127,53953,17263,10993
3/30/10,18638,40286,16748,11289
3/31/10,9583,50750,19165,7888
4/1/10,49886,19207,6091,9508
4/5/10,44124,19745,4263,9072
4/6/10,51625,24652,9069,13283
4/7/10,50477,29233,10998,11166
4/8/10,49762,34253,13802,13103
4/9/10,46680,26323,11375,12429
4/12/10,45839,26003,12689,13453
4/13/10,57814,37642,16754,15405
4/14/10,48230,33008,18086,12646
4/15/10,43708,33093,10785,15042
4/16/10,49284,39781,11038,15022
4/19/10,49115,58890,16473,21504
4/20/10,31248,49647,14606,16521
4/21/10,25846,57032,13322,12998
4/22/10,20402,49293,13378,9863
4/23/10,22844,36568,10390,9760
4/26/10,26100,43875,7844,14773
4/27/10,20085,54190,13319,9728
4/28/10,15454,59525,19286,7530
4/29/10,13847,57352,19230,7812
4/30/10,8021,62921,23115,7608
5/3/10,41028,11740,4171,6117
5/4/10,65168,21977,7878,10678
5/5/10,79763,28387,10506,13291
5/6/10,69375,28946,17371,14656
5/7/10,70908,30698,15408,15903
5/10/10,52076,22262,8091,11650
5/11/10,42932,20861,7748,10560
5/12/10,51097,34867,11591,14757
5/13/10,54455,37033,15540,16817
5/14/10,50547,31248,13825,12847
5/17/10,52317,31923,10995,14029
5/18/10,48041,36846,15550,14537
5/19/10,37168,43329,13296,13699
5/20/10,37973,52818,13548,17133
5/21/10,30514,50012,10688,15425
5/24/10,25639,44059,11600,12688
5/25/10,30266,50559,15596,16720
5/26/10,20838,51359,18451,12198
5/27/10,24126,56215,12907,12907
5/28/10,5710,45992,17743,5031
6/1/10,50604,16659,8041,9931
6/2/10,42845,16954,7921,7968
6/3/10,44274,20109,10915,9631
6/4/10,47359,17721,9419,8399
6/7/10,42277,17296,10940,8899
6/8/10,46903,19393,8743,9170
6/9/10,48342,24348,13871,11160
6/10/10,49433,24809,12489,12493
6/11/10,47671,22989,13113,10982
6/14/10,38208,16620,7725,7064
6/15/10,41851,17430,9404,7828
6/16/10,47953,25541,13065,10624
6/17/10,55183,35387,16680,14276
6/18/10,40153,26477,12790,12650
6/21/10,30592,31620,9400,11491
6/22/10,32387,46199,15465,14859
6/23/10,30388,40858,11727,13362
6/24/10,29411,42754,11062,13989
6/25/10,25946,51786,18374,13169
6/28/10,19051,36783,12282,8611
6/29/10,20990,48685,13682,10589
6/30/10,9266,59213,24002,6640
7/1/10,69907,22476,10350,11879
7/2/10,42808,14412,6928,7747
7/6/10,48758,19062,7943,9591
7/7/10,47892,17925,6407,10213
7/8/10,51024,19369,10485,9456
7/9/10,43750,17659,8262,8865
7/12/10,37692,14578,7647,6890
7/13/10,45110,17981,6208,10414
7/14/10,42050,21277,10654,9141
7/15/10,45077,21770,6819,11067
7/16/10,35767,13825,4389,6072
7/19/10,43368,30469,11072,12480
7/20/10,34346,36448,7706,14527
7/21/10,34515,38342,9628,13118
7/22/10,32149,42438,12575,14194
7/23/10,23625,33645,6155,9509
7/26/10,25153,30107,3774,9983
7/27/10,31947,48397,8945,14239
7/28/10,19602,45950,10711,8599
7/29/10,21801,52003,10379,10514
7/30/10,9475,53245,9708,8831
8/2/10,57899,14767,8090,7412
8/3/10,54478,16006,6716,8454
8/4/10,55998,14154,5136,9052
8/5/10,52888,18338,13164,9495
8/6/10,56218,21243,10319,11674
8/9/10,44765,16998,8634,9519
8/10/10,60804,24878,15192,12190
8/11/10,57887,24301,11913,13669
8/12/10,73777,33129,16032,14547
8/13/10,43580,18406,10306,9042
8/16/10,40057,17489,6328,7591
8/17/10,44294,24143,9406,9766
8/18/10,47273,28072,9815,12352
8/19/10,40692,30452,6969,15761
8/20/10,31323,35104,8118,11621
8/23/10,30165,41688,11049,15229
8/24/10,29798,43472,8496,14734
8/25/10,25735,49636,14219,14285
8/26/10,23595,54641,16292,10938
8/27/10,21803,58217,12995,11613
8/30/10,22158,50472,16838,8447
8/31/10,12399,72666,22701,8135
9/1/10,72275,20386,17459,12049
9/2/10,60647,19736,12675,10347
9/3/10,49556,19282,16348,9094
9/7/10,62607,18774,19329,9812
9/8/10,52635,16846,15342,8735
9/9/10,47569,17984,15891,8980
9/10/10,65157,31870,27707,17100
9/13/10,66025,39374,42484,17169
9/14/10,54182,24425,29597,11564
9/15/10,49848,22222,19372,11070
9/16/10,55233,29621,25555,15271
9/17/10,49038,29806,26040,12445
9/20/10,35493,39646,23308,15092
9/21/10,32184,42010,22024,14261
9/22/10,25706,42879,16351,11048
9/23/10,30293,45419,15373,16096
9/24/10,35758,44873,19986,13451
9/27/10,21832,45400,13816,10941
9/28/10,17232,44003,15310,8804
9/29/10,19444,62583,25761,10554
9/30/10,8183,57013,24380,7813
10/1/10,59135,32944,12389,15818
10/4/10,43593,20206,11289,8850
10/5/10,51698,29505,10970,14484
10/6/10,46202,24109,8440,11068
10/7/10,63835,34369,17894,16748
10/8/10,49994,25826,13210,12192
10/11/10,39238,24390,14706,10756
10/12/10,52098,31011,13994,15606
10/13/10,42483,26804,14269,12027
10/14/10,45546,29449,12147,14441
10/15/10,57116,36978,15411,14708
10/18/10,38766,27582,12969,11314
10/19/10,47800,47166,13639,22396
10/20/10,30325,48260,14228,15487
10/21/10,25427,46678,12586,11571
10/22/10,17420,37637,9285,7287
10/25/10,23949,49171,14462,11688
10/26/10,25279,42098,9401,9769
10/27/10,15683,48994,13198,9388
10/28/10,18183,46271,15574,8798
10/29/10,8812,55562,15366,6866
11/1/10,48301,10924,2916,6760
11/2/10,43840,17908,9719,8325
11/3/10,60400,19135,8400,10976
11/4/10,41649,15212,6750,7923
11/5/10,41649,15212,6750,9825
11/8/10,42162,16979,6022,8051
11/9/10,55878,37978,13096,16779
11/10/10,66467,45478,18255,22141
11/11/10,47163,29387,15327,13587
11/12/10,49759,22869,10611,10518
11/15/10,35062,16498,5415,8530
11/16/10,51236,27499,8731,13709
11/17/10,59065,36790,11658,16217
11/18/10,41132,43351,9724,19200
11/19/10,31108,44062,12074,13962
11/22/10,30158,39635,13057,12762
11/23/10,32742,51606,11464,16220
11/24/10,29506,50631,11206,13770
11/26/10,5339,21993,3745,3632
11/29/10,32618,54024,13607,15542
11/30/10,15072,58826,18429,9049
12/1/10,49503,15550,7635,8126
12/2/10,69746,28760,14468,15308
12/3/10,55187,21869,12037,11239
12/6/10,53700,24951,14077,12807
12/7/10,61775,31439,20182,16263
12/8/10,53754,23551,14720,11928
12/9/10,50519,27089,14583,12713
12/10/10,48236,21330,12500,10553
12/13/10,50620,20976,12698,11674
12/14/10,44673,19975,10599,10328
12/15/10,48925,26491,12789,13565
12/16/10,50512,32586,16580,15260
12/17/10,44558,30789,11482,15714
12/20/10,34941,39666,7647,16620
12/21/10,29076,33364,8433,12052
12/22/10,31950,41282,14264,15623
12/23/10,22785,28380,5033,9375
12/27/10,15125,27443,5676,9799
12/28/10,20670,27574,5735,8532
12/29/10,18401,29679,9652,8674
12/30/10,17965,42823,16441,7391
12/31/10,4799,38785,11310,3776
1/3/11,41036,10871,4312,6391
1/4/11,62038,27391,10764,14161
1/5/11,57531,24677,10059,13561
1/6/11,60724,28039,14808,13680
1/7/11,63603,30866,14242,16641
1/10/11,59624,27214,11803,13575
1/11/11,56877,32105,16056,14343
1/12/11,48870,31336,10389,12628
1/13/11,50144,35807,15951,17560
1/14/11,42328,29900,10018,11647
1/18/11,46339,32949,13783,13949
1/19/11,32038,40869,15244,14299
1/20/11,30713,47690,15157,15557
1/21/11,34473,57197,15931,17674
1/24/11,28245,47233,20653,12403
1/25/11,27521,56053,22831,13666
1/26/11,23395,69351,25466,11758
1/27/11,19400,52884,18696,11979
1/28/11,26131,67183,27255,11553
1/31/11,8342,53091,22461,5838
2/1/11,63710,29457,15948,16711
2/2/11,57347,27497,18139,12985
2/3/11,52808,28087,17613,13435
2/4/11,57114,26873,13161,14361
2/7/11,42551,25116,14962,11375
2/8/11,54404,34260,17691,15332
2/9/11,56867,31794,17450,15684
2/10/11,65960,43467,24339,20023
2/11/11,51866,29353,16370,14200
2/14/11,42327,21528,10707,9453
2/15/11,46943,30852,14129,15240
2/16/11,45859,35888,15678,17903
2/17/11,39265,34764,13608,14102
2/18/11,48770,50462,19399,21866
2/22/11,32721,52246,13827,17458
2/23/11,29336,53273,16400,15336
2/24/11,27412,63580,18282,13750
2/25/11,21469,49098,13675,9241
2/28/11,11098,41107,15865,6764
3/1/11,45298,15371,13675,9635
3/2/11,53656,20505,22504,10194
3/3/11,42949,15020,17332,7199
3/4/11,51620,19514,26649,10090
3/7/11,50458,21519,20068,11192
3/8/11,56308,25804,24039,13998
3/9/11,47044,19243,17266,10763
3/10/11,52873,25695,19403,15123
3/11/11,46754,21891,21044,10598
3/14/11,56125,31276,27748,13311
3/15/11,63626,33062,28046,15512
3/16/11,64254,45030,32392,17819
3/17/11,37627,25220,22197,10671
3/18/11,41584,28849,27911,12031
3/21/11,28136,32926,15846,11972
3/22/11,21890,35558,16958,10114
3/23/11,27560,39648,21043,14021
3/24/11,23656,53525,32749,11101
3/25/11,19756,40088,17622,11117
3/28/11,23004,47822,16828,10919
3/29/11,22428,50607,17474,10287
3/30/11,19949,48131,20499,8540
3/31/11,7522,52958,23641,6123
4/1/11,42461,16524,6083,8599
4/4/11,35609,15245,6316,7869
4/5/11,43963,17257,8205,9078
4/6/11,51339,27752,12267,12332
4/7/11,44726,22135,12749,10880
4/8/11,58055,32352,13515,15945
4/11/11,51525,28911,15630,13497
4/12/11,66712,47404,21987,20358
4/13/11,58933,32049,14494,15403
4/14/11,43457,31375,11392,12436
4/15/11,37325,25076,10486,10552
4/18/11,34459,34571,10113,15057
4/19/11,41191,51114,16826,20150
4/20/11,29098,44946,13192,13946
4/21/11,25366,41446,11948,12344
4/25/11,26420,44822,11940,13231
4/26/11,27214,47805,14096,11938
4/27/11,22922,55111,12528,10271
4/28/11,22735,53805,13924,10265
4/29/11,9267,35513,10066,6541
