,XB1 Comdty ,XB1 Comdty ,XB2 Comdty ,XB2 Comdty ,XB3 Comdty ,XB3 Comdty 
,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT,OPEN_INT,FUT_AGGTE_OPEN_INT
2010-01-04,91980.0,239903.0,43443.0,239903.0,31893.0,239903.0
2010-01-05,92315.0,246666.0,45420.0,246666.0,33135.0,246666.0
2010-01-06,91652.0,251785.0,47686.0,251785.0,34263.0,251785.0
2010-01-07,91481.0,256842.0,49860.0,256842.0,35664.0,256842.0
2010-01-08,87383.0,260238.0,81188.0,260238.0,45890.0,260238.0
2010-01-11,80936.0,263011.0,60178.0,263011.0,36845.0,263011.0
2010-01-12,75450.0,265579.0,64782.0,265579.0,37525.0,265579.0
2010-01-13,68844.0,269430.0,67775.0,269430.0,39088.0,269430.0
2010-01-14,62619.0,273407.0,75725.0,273407.0,40614.0,273407.0
2010-01-15,55279.0,269944.0,78008.0,269944.0,40459.0,269944.0
2010-01-19,50400.0,273395.0,83980.0,273395.0,40681.0,273395.0
2010-01-20,45707.0,279147.0,89658.0,279147.0,40458.0,279147.0
2010-01-21,37623.0,275628.0,91442.0,275628.0,39888.0,275628.0
2010-01-22,31729.0,272036.0,91524.0,272036.0,40271.0,272036.0
2010-01-25,24765.0,270327.0,94878.0,270327.0,41163.0,270327.0
2010-01-26,17777.0,261580.0,92982.0,261580.0,40346.0,261580.0
2010-01-27,13211.0,258693.0,92620.0,258693.0,40352.0,258693.0
2010-01-28,6773.0,250006.0,88917.0,250006.0,39759.0,250006.0
2010-01-29,2427.0,247507.0,89131.0,247507.0,40111.0,247507.0
2010-02-01,87572.0,251344.0,42123.0,251344.0,27165.0,251344.0
2010-02-02,87987.0,257790.0,45172.0,257790.0,28572.0,257790.0
2010-02-03,88642.0,259632.0,45731.0,259632.0,28362.0,259632.0
2010-02-04,84029.0,256143.0,44825.0,256143.0,29688.0,256143.0
2010-02-05,79089.0,255331.0,45082.0,255331.0,31351.0,255331.0
2010-02-08,73379.0,255574.0,46829.0,255574.0,33345.0,255574.0
2010-02-09,68516.0,258438.0,49397.0,258438.0,35589.0,258438.0
2010-02-10,61516.0,260846.0,53253.0,260846.0,37802.0,260846.0
2010-02-11,51260.0,257016.0,57075.0,257016.0,39939.0,257016.0
2010-02-12,48225.0,258198.0,59969.0,258198.0,40699.0,258198.0
