,XB1,XB2,XB3,XB1 R:02_0_D,XB2 R:02_0_D,XB3 R:02_0_D,.RBCOMN,.RBCOML,.RBCOMS,.RBMMN,.RBMML,.RBMMS
2010-01-04,210.44,212.01,222.71,-118.79,-49.51,-45.36,,,,,,
2010-01-05,212.5,213.66,223.98,-116.73,-47.86,-44.09,-123366.0,73483.0,196849.0,72290.0,86135.0,13845.0
2010-01-06,213.66,215.19,226.08,-115.57,-46.33,-41.99,,,,,,
2010-01-07,213.49,214.91,225.41,-115.74,-46.61,-42.66,,,,,,
2010-01-08,215.53,216.53,226.53,-113.7,-44.99,-41.54,,,,,,
2010-01-11,214.27,215.47,225.44,-114.96,-46.05,-42.63,,,,,,
2010-01-12,209.78,211.06,221.02,-119.45,-50.46,-47.05,-125031.0,87259.0,212290.0,75201.0,90626.0,15425.0
2010-01-13,206.02,207.54,217.72,-123.21,-53.98,-50.35,,,,,,
2010-01-14,207.38,208.63,218.37,-121.85,-52.89,-49.7,,,,,,
2010-01-15,204.54,205.9,215.85,-124.69,-55.62,-52.22,,,,,,
2010-01-19,205.91,207.35,217.12,-123.32,-54.17,-50.95,-121475.0,95927.0,217402.0,72767.0,88241.0,15474.0
2010-01-20,204.65,205.76,215.22,-124.58,-55.76,-52.85,,,,,,
2010-01-21,198.29,199.44,209.01,-130.94,-62.08,-59.06,,,,,,
2010-01-22,196.57,197.34,206.47,-132.66,-64.18,-61.6,,,,,,
2010-01-25,200.08,200.76,209.6,-129.15,-60.76,-58.47,,,,,,
2010-01-26,196.74,197.67,207.24,-132.49,-63.85,-60.83,-110707.0,98588.0,209295.0,61839.0,73626.0,11787.0
2010-01-27,193.92,194.74,204.42,-135.31,-66.78,-63.65,,,,,,
2010-01-28,191.74,192.74,203.2,-137.31,-68.0,-64.65,,,,,,
2010-01-29,190.31,191.34,202.12,-138.71,-69.08,-65.79,,,,,,
2010-02-01,193.21,204.65,205.93,-136.84,-66.55,-63.02,,,,,,
2010-02-02,201.79,212.63,213.72,-128.26,-58.57,-55.23,-106467.0,94251.0,200718.0,58970.0,71199.0,12229.0
2010-02-03,203.62,213.96,214.93,-126.43,-57.24,-54.02,,,,,,
2010-02-04,195.08,205.4,206.36,-134.97,-65.8,-62.59,,,,,,
2010-02-05,188.64,199.22,200.3,-141.41,-71.98,-68.65,,,,,,
2010-02-08,189.4,200.39,201.56,-140.65,-70.81,-67.39,,,,,,
2010-02-09,192.9,204.5,205.84,-137.15,-66.7,-63.11,-98098.0,104966.0,203064.0,52117.0,63345.0,11228.0
2010-02-10,192.9,205.07,206.51,-137.15,-66.13,-62.44,,,,,,
2010-02-11,193.57,206.57,208.07,-136.48,-64.63,-60.88,,,,,,
2010-02-12,192.95,205.38,206.7,-137.1,-65.82,-62.25,,,,,,
2010-02-16,198.82,211.34,212.59,-131.23,-59.86,-56.36,-102923.0,101374.0,204297.0,56610.0,65915.0,9305.0
2010-02-17,200.71,212.79,213.95,-129.34,-58.41,-55.0,,,,,,
2010-02-18,206.92,218.1,218.96,-123.13,-53.1,-49.99,,,,,,
2010-02-19,208.57,220.04,220.69,-121.48,-51.16,-48.26,,,,,,
2010-02-22,211.58,222.3,222.65,-118.47,-48.9,-46.3,,,,,,
2010-02-23,206.56,216.83,217.39,-123.49,-54.37,-51.56,-119692.0,94017.0,213709.0,73558.0,80467.0,6909.0
2010-02-24,209.89,220.67,221.1,-120.16,-50.53,-47.85,,,,,,
2010-02-25,203.7,214.77,215.44,-126.06,-56.19,-53.32,,,,,,
2010-02-26,207.88,218.79,219.42,-122.04,-52.21,-49.29,,,,,,
2010-03-01,215.56,216.37,216.37,-125.27,-55.26,-52.24,,,,,,
2010-03-02,219.66,220.26,220.09,-121.17,-51.37,-48.52,-122262.0,97717.0,219979.0,69334.0,78618.0,9284.0
2010-03-03,224.76,224.94,224.34,-116.07,-46.69,-44.27,,,,,,
