,XB1 Comdty ,XB2 Comdty ,XB3 Comdty ,S:XBXB 1-2 Comdty
1/4/10,42487,16054,10025,7674
1/5/10,50245,23381,13779,13623
1/6/10,49988,20334,10560,10371
1/7/10,41985,18857,10993,10347
1/8/10,53728,29232,16713,13357
1/11/10,51389,29070,14284,16254
1/12/10,44768,28108,14068,15248
1/13/10,55306,32100,16945,15184
1/14/10,41452,30270,11646,16330
1/15/10,37611,22363,10557,10141
1/19/10,35679,30119,7396,14098
1/20/10,30482,34870,11088,13407
1/21/10,41145,63797,23414,21288
1/22/10,26917,38905,11701,11916
1/25/10,24659,42966,14225,11181
1/26/10,22178,46879,15368,11536
1/27/10,19433,48453,17979,9896
1/28/10,19306,47293,21386,8882
1/29/10,7956,48875,20643,5559
2/1/10,47587,21566,8697,12738
2/2/10,64923,25729,10038,14529
2/3/10,64017,30735,15358,17451
2/4/10,51728,19679,8266,10698
2/5/10,52248,27515,13606,13770
2/8/10,43776,22953,9948,12602
2/9/10,54537,33806,15308,19055
2/10/10,50840,30495,11691,18027
2/11/10,54461,37200,12959,21072
2/12/10,49552,27544,10030,14505
2/16/10,39517,20679,7657,10320
2/17/10,37215,22654,8228,13281
2/18/10,42268,32853,13839,15048
2/19/10,37594,36683,12774,16307
2/22/10,23683,37113,12566,10921
2/23/10,40363,55667,16243,15155
2/24/10,24491,50606,14497,13971
2/25/10,24920,46891,14376,11501
2/26/10,6620,39984,12419,6401
3/1/10,44539,16462,9850,8922
3/2/10,40922,18907,11187,8560
3/3/10,55844,31817,18849,13016
3/4/10,38896,20924,12098,9228
3/5/10,39936,17573,8407,8580
3/8/10,58057,35175,17537,16319
3/9/10,53473,38271,17950,15944
3/10/10,56255,34122,17463,17458
3/11/10,51215,37101,21483,18078
3/12/10,41490,22432,10903,10666
3/15/10,35965,19382,10178,8666
3/16/10,44561,27440,12180,12448
3/17/10,40923,27375,14205,11317
3/18/10,39343,32720,20493,12866
3/19/10,32845,29872,14745,11594
3/22/10,26184,35633,13786,12152
3/23/10,20059,38120,16306,10217
3/24/10,27503,47584,21705,14587
3/25/10,21456,43394,21649,9228
3/26/10,23846,47722,16100,13171
3/29/10,15722,41202,10519,6053
3/30/10,17762,36712,12589,9097
3/31/10,9251,59094,19487,6524
4/1/10,47101,19593,9683,7962
4/5/10,45107,18788,6998,7636
4/6/10,45139,26117,13742,11724
4/7/10,58004,36550,22946,15524
4/8/10,76594,47694,26037,23255
4/9/10,65086,39394,28253,20097
4/12/10,63214,41385,17875,21243
4/13/10,66055,48426,23387,22309
4/14/10,53803,41936,16485,18160
4/15/10,43866,32052,13384,15796
4/16/10,71527,67376,29563,27908
4/19/10,33931,41821,13303,14690
4/20/10,30818,56666,21652,14511
4/21/10,23705,55406,23443,11977
4/22/10,26604,57816,28278,12173
4/23/10,25132,56579,20814,12013
4/26/10,21714,45740,18288,11615
4/27/10,29366,58144,22108,13787
4/28/10,24533,55783,26120,10622
4/29/10,20619,57538,21870,10255
4/30/10,6231,55094,32794,5950
5/3/10,47104,21675,9020,11521
5/4/10,75777,33902,17715,17360
5/5/10,87060,49772,25726,22845
5/6/10,69278,32333,17529,14049
5/7/10,52321,29986,12385,14465
5/10/10,47097,26770,11940,13568
5/11/10,48319,28380,13311,13863
5/12/10,54063,40792,16476,19641
5/13/10,55287,34479,15412,15733
5/14/10,52001,37820,18574,16090
5/17/10,45428,41504,18374,15032
5/18/10,42376,39989,18084,15012
5/19/10,36538,43497,14181,15927
5/20/10,30655,47394,19896,13604
5/21/10,25078,37019,11077,13026
5/24/10,30973,39808,13242,15136
5/25/10,31992,44501,14675,13390
5/26/10,31633,56594,20581,15773
5/27/10,23218,45704,16994,10134
5/28/10,6786,44145,18897,5887
6/1/10,55422,20467,13421,10614
6/2/10,59316,21509,14518,11952
6/3/10,58629,27063,16102,15243
6/4/10,49613,18053,10263,10181
6/7/10,46316,18095,12210,11387
6/8/10,50043,24311,14982,13916
6/9/10,48320,26581,16776,14356
