tradeDate,Name,Commercial_NetPosition,CommercialLongPosition,CommercialShortPosition,ManagedMoney_NetPosition,ManagedMoney_LongPosition,ManagedMoney_ShortPosition,Commercial_NetPosition_change,prior_report_Commercial_NetPosition_change,forward_report_Commercial_NetPosition_change,CommercialLongPosition_change,prior_report_CommercialLongPosition_change,forward_report_CommercialLongPosition_change,CommercialShortPosition_change,prior_report_CommercialShortPosition_change,forward_report_CommercialShortPosition_change,ManagedMoney_NetPosition_change,prior_report_ManagedMoney_NetPosition_change,forward_report_ManagedMoney_NetPosition_change,ManagedMoney_LongPosition_change,prior_report_ManagedMoney_LongPosition_change,forward_report_ManagedMoney_LongPosition_change,ManagedMoney_ShortPosition_change,prior_report_ManagedMoney_ShortPosition_change,forward_report_ManagedMoney_ShortPosition_change
2011-01-04,CO,-248469.0,308184.0,556653.0,117417.0,144396.0,26979.0,,,-7248.0,,,30435.0,,,37683.0,,,8012.0,,,6509.0,,,-1503.0
2011-01-11,CO,-255717.0,338619.0,594336.0,125429.0,150905.0,25476.0,-7248.0,,35348.0,30435.0,,23179.0,37683.0,,-12169.0,8012.0,,-4767.0,6509.0,,-776.0,-1503.0,,3991.0
2011-01-18,CO,-220369.0,361798.0,582167.0,120662.0,150129.0,29467.0,35348.0,-7248.0,45949.0,23179.0,30435.0,29890.0,-12169.0,37683.0,-16059.0,-4767.0,8012.0,-39925.0,-776.0,6509.0,-14116.0,3991.0,-1503.0,25809.0
2011-01-25,CO,-174420.0,391688.0,566108.0,80737.0,136013.0,55276.0,45949.0,35348.0,-13798.0,29890.0,23179.0,-28060.0,-16059.0,-12169.0,-14262.0,-39925.0,-4767.0,17962.0,-14116.0,-776.0,4506.0,25809.0,3991.0,-13456.0
2011-02-01,CO,-188218.0,363628.0,551846.0,98699.0,140519.0,41820.0,-13798.0,45949.0,-12522.0,-28060.0,29890.0,-18835.0,-14262.0,-16059.0,-6313.0,17962.0,-39925.0,-10504.0,4506.0,-14116.0,-5407.0,-13456.0,25809.0,5097.0
2011-02-08,CO,-200740.0,344793.0,545533.0,88195.0,135112.0,46917.0,-12522.0,-13798.0,-12367.0,-18835.0,-28060.0,-28281.0,-6313.0,-14262.0,-15914.0,-10504.0,17962.0,7042.0,-5407.0,4506.0,-2834.0,5097.0,-13456.0,-9876.0
2011-02-15,CO,-213107.0,316512.0,529619.0,95237.0,132278.0,37041.0,-12367.0,-12522.0,-3941.0,-28281.0,-18835.0,-835.0,-15914.0,-6313.0,3106.0,7042.0,-10504.0,1607.0,-2834.0,-5407.0,1527.0,-9876.0,5097.0,-80.0
2011-02-22,CO,-217048.0,315677.0,532725.0,96844.0,133805.0,36961.0,-3941.0,-12367.0,-31732.0,-835.0,-28281.0,1007.0,3106.0,-15914.0,32739.0,1607.0,7042.0,17570.0,1527.0,-2834.0,8132.0,-80.0,-9876.0,-9438.0
2011-03-01,CO,-248780.0,316684.0,565464.0,114414.0,141937.0,27523.0,-31732.0,-3941.0,18681.0,1007.0,-835.0,-20276.0,32739.0,3106.0,-38957.0,17570.0,1607.0,-13560.0,8132.0,1527.0,-14248.0,-9438.0,-80.0,-688.0
2011-03-08,CO,-230099.0,296408.0,526507.0,100854.0,127689.0,26835.0,18681.0,-31732.0,16706.0,-20276.0,1007.0,4693.0,-38957.0,32739.0,-12013.0,-13560.0,17570.0,-19801.0,-14248.0,8132.0,-8075.0,-688.0,-9438.0,11726.0
2011-03-15,CO,-213393.0,301101.0,514494.0,81053.0,119614.0,38561.0,16706.0,18681.0,-26247.0,4693.0,-20276.0,14587.0,-12013.0,-38957.0,40834.0,-19801.0,-13560.0,24683.0,-8075.0,-14248.0,21410.0,11726.0,-688.0,-3273.0
2011-03-22,CO,-239640.0,315688.0,555328.0,105736.0,141024.0,35288.0,-26247.0,16706.0,-4766.0,14587.0,4693.0,-17786.0,40834.0,-12013.0,-13020.0,24683.0,-19801.0,1696.0,21410.0,-8075.0,-464.0,-3273.0,11726.0,-2160.0
2011-03-29,CO,-244406.0,297902.0,542308.0,107432.0,140560.0,33128.0,-4766.0,-26247.0,-2861.0,-17786.0,14587.0,31675.0,-13020.0,40834.0,34536.0,1696.0,24683.0,5732.0,-464.0,21410.0,6274.0,-2160.0,-3273.0,542.0
2011-04-05,CO,-247267.0,329577.0,576844.0,113164.0,146834.0,33670.0,-2861.0,-4766.0,21340.0,31675.0,-17786.0,-27786.0,34536.0,-13020.0,-49126.0,5732.0,1696.0,-18377.0,6274.0,-464.0,-13883.0,542.0,-2160.0,4494.0
