Unnamed: 0,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI,F1_OI_Minus_F2_OI,prior_1D_F1_OI_change,prior_5D_F1_OI_change,prior_10D_F1_OI_change,prior_15D_F1_OI_change,prior_20D_F1_OI_change,prior_1D_F2_OI_change,prior_5D_F2_OI_change,prior_10D_F2_OI_change,prior_15D_F2_OI_change,prior_20D_F2_OI_change,prior_1D_F3_OI_change,prior_5D_F3_OI_change,prior_10D_F3_OI_change,prior_15D_F3_OI_change,prior_20D_F3_OI_change,prior_1D_AGG_OI_change,prior_5D_AGG_OI_change,prior_10D_AGG_OI_change,prior_15D_AGG_OI_change,prior_20D_AGG_OI_change,forward_1D_F1_OI_change,forward_5D_F1_OI_change,forward_10D_F1_OI_change,forward_15D_F1_OI_change,forward_20D_F1_OI_change,forward_1D_F2_OI_change,forward_5D_F2_OI_change,forward_10D_F2_OI_change,forward_15D_F2_OI_change,forward_20D_F2_OI_change,forward_1D_F3_OI_change,forward_5D_F3_OI_change,forward_10D_F3_OI_change,forward_15D_F3_OI_change,forward_20D_F3_OI_change,forward_1D_AGG_OI_change,forward_5D_AGG_OI_change,forward_10D_AGG_OI_change,forward_15D_AGG_OI_change,forward_20D_AGG_OI_change
19787,2025-07-07,CO,520754.0,399692.0,241206.0,2734548.0,121062.0,-2629.0,436152.0,227341.0,98209.0,70947.0,6349.0,-140797.0,-156555.0,-121744.0,-92259.0,500.0,-111002.0,-48955.0,-25364.0,7316.0,2196.0,-4683.0,-103302.0,-199096.0,-76135.0,2629.0,-436152.0,-227341.0,-98209.0,-70947.0,-6349.0,140797.0,156555.0,121744.0,92259.0,-500.0,111002.0,48955.0,25364.0,-7316.0,-2196.0,4683.0,103302.0,199096.0,76135.0
19785,2025-07-03,CO,523383.0,393343.0,240706.0,2732352.0,130040.0,3905.0,409645.0,219881.0,71697.0,53417.0,9834.0,-154706.0,-117254.0,-142927.0,-88139.0,13200.0,-101637.0,-38418.0,-21838.0,11985.0,42710.0,-22046.0,-68092.0,-227732.0,-74457.0,-3905.0,-409645.0,-219881.0,-71697.0,-53417.0,-9834.0,154706.0,117254.0,142927.0,88139.0,-13200.0,101637.0,38418.0,21838.0,-11985.0,-42710.0,22046.0,68092.0,227732.0,74457.0
19784,2025-07-02,CO,519478.0,383509.0,227506.0,2689642.0,135969.0,1278.0,378536.0,195918.0,75364.0,38293.0,7781.0,-154257.0,-108627.0,-141428.0,-77416.0,-278.0,-102312.0,-56847.0,-16338.0,-7582.0,14525.0,-51248.0,-122956.0,-219309.0,-102905.0,-1278.0,-378536.0,-195918.0,-75364.0,-38293.0,-7781.0,154257.0,108627.0,141428.0,77416.0,278.0,102312.0,56847.0,16338.0,7582.0,-14525.0,51248.0,122956.0,219309.0,102905.0
19783,2025-07-01,CO,518200.0,375728.0,227784.0,2675117.0,142472.0,436292.0,332380.0,194432.0,82601.0,15395.0,-160626.0,-165085.0,-101665.0,-140286.0,-100844.0,-136816.0,-87945.0,-28816.0,-2959.0,-9568.0,-67092.0,-89026.0,-78668.0,-198317.0,-156000.0,-436292.0,-332380.0,-194432.0,-82601.0,-15395.0,160626.0,165085.0,101665.0,140286.0,100844.0,136816.0,87945.0,28816.0,2959.0,9568.0,67092.0,89026.0,78668.0,198317.0,156000.0
19782,2025-06-30,CO,81908.0,536354.0,364600.0,2742209.0,-454446.0,-2694.0,-157801.0,-289363.0,-365842.0,-16589.0,-4135.0,-10805.0,58797.0,34832.0,21096.0,12392.0,67483.0,105447.0,135249.0,-89022.0,2978.0,-60389.0,-69320.0,-99465.0,-163248.0,2694.0,157801.0,289363.0,365842.0,16589.0,4135.0,10805.0,-58797.0,-34832.0,-21096.0,-12392.0,-67483.0,-105447.0,-135249.0,89022.0,-2978.0,60389.0,69320.0,99465.0,163248.0
19781,2025-06-27,CO,84602.0,540489.0,352208.0,2739231.0,-455887.0,-29136.0,-208811.0,-337943.0,-365205.0,-19327.0,-7560.0,-15758.0,19053.0,48538.0,15941.0,9865.0,62047.0,85638.0,118318.0,-80950.0,-15167.0,-98619.0,-194413.0,-71452.0,-143929.0,29136.0,208811.0,337943.0,365205.0,19327.0,7560.0,15758.0,-19053.0,-48538.0,-15941.0,-9865.0,-62047.0,-85638.0,-118318.0,80950.0,15167.0,98619.0,194413.0,71452.0,143929.0
19780,2025-06-26,CO,113738.0,548049.0,342343.0,2754398.0,-434311.0,-27204.0,-189764.0,-337948.0,-356228.0,-29354.0,10283.0,37452.0,11779.0,66567.0,41120.0,12525.0,63219.0,79799.0,113622.0,-67555.0,13508.0,-46046.0,-205686.0,-52411.0,-122949.0,27204.0,189764.0,337948.0,356228.0,29354.0,-10283.0,-37452.0,-11779.0,-66567.0,-41120.0,-12525.0,-63219.0,-79799.0,-113622.0,67555.0,-13508.0,46046.0,205686.0,52411.0,122949.0
19779,2025-06-25,CO,140942.0,537766.0,329818.0,2740890.0,-396824.0,-44878.0,-182618.0,-303172.0,-340243.0,-39724.0,-3047.0,45630.0,12829.0,76841.0,43667.0,14089.0,45465.0,85974.0,94730.0,-77085.0,-23253.0,-71708.0,-168061.0,-51657.0,-150781.0,44878.0,182618.0,303172.0,340243.0,39724.0,3047.0,-45630.0,-12829.0,-76841.0,-43667.0,-14089.0,-45465.0,-85974.0,-94730.0,77085.0,23253.0,71708.0,168061.0,51657.0,150781.0
19778,2025-06-24,CO,185820.0,540813.0,315729.0,2764143.0,-354993.0,-53889.0,-137948.0,-249779.0,-316985.0,-52051.0,-6346.0,63420.0,24799.0,64241.0,55136.0,18612.0,59129.0,84986.0,78377.0,-83339.0,-38455.0,10358.0,-109291.0,-66974.0,-171438.0,53889.0,137948.0,249779.0,316985.0,52051.0,6346.0,-63420.0,-24799.0,-64241.0,-55136.0,-18612.0,-59129.0,-84986.0,-78377.0,83339.0,38455.0,-10358.0,109291.0,66974.0,171438.0
19777,2025-06-23,CO,239709.0,547159.0,297117.0,2802598.0,-307450.0,-53704.0,-131562.0,-208041.0,141212.0,-27962.0,-9088.0,69602.0,45637.0,31901.0,75114.0,6956.0,37964.0,67766.0,-156505.0,-92362.0,-35252.0,-8931.0,-39076.0,-102859.0,-131210.0,53704.0,131562.0,208041.0,-141212.0,27962.0,9088.0,-69602.0,-45637.0,-31901.0,-75114.0,-6956.0,-37964.0,-67766.0,156505.0,92362.0,35252.0,8931.0,39076.0,102859.0,131210.0
