Unnamed: 0,tradeDate,Name,F1_Volume,F2_Volume,F3_Volume,F1MinusF2_Volume,prior_cumulative_1D_F1_Volume,prior_1D_F1_Volume_change,prior_cumulative_5D_F1_Volume,prior_5D_F1_Volume_change,prior_cumulative_10D_F1_Volume,prior_10D_F1_Volume_change,prior_cumulative_15D_F1_Volume,prior_15D_F1_Volume_change,prior_cumulative_20D_F1_Volume,prior_20D_F1_Volume_change,prior_cumulative_1D_F2_Volume,prior_1D_F2_Volume_change,prior_cumulative_5D_F2_Volume,prior_5D_F2_Volume_change,prior_cumulative_10D_F2_Volume,prior_10D_F2_Volume_change,prior_cumulative_15D_F2_Volume,prior_15D_F2_Volume_change,prior_cumulative_20D_F2_Volume,prior_20D_F2_Volume_change,prior_cumulative_1D_F3_Volume,prior_1D_F3_Volume_change,prior_cumulative_5D_F3_Volume,prior_5D_F3_Volume_change,prior_cumulative_10D_F3_Volume,prior_10D_F3_Volume_change,prior_cumulative_15D_F3_Volume,prior_15D_F3_Volume_change,prior_cumulative_20D_F3_Volume,prior_20D_F3_Volume_change,forward_cumulative_1D_F1_Volume,forward_cumulative_5D_F1_Volume,forward_cumulative_10D_F1_Volume,forward_cumulative_15D_F1_Volume,forward_cumulative_20D_F1_Volume,forward_cumulative_1D_F2_Volume,forward_cumulative_5D_F2_Volume,forward_cumulative_10D_F2_Volume,forward_cumulative_15D_F2_Volume,forward_cumulative_20D_F2_Volume,forward_cumulative_1D_F3_Volume,forward_cumulative_5D_F3_Volume,forward_cumulative_10D_F3_Volume,forward_cumulative_15D_F3_Volume,forward_cumulative_20D_F3_Volume
19744,2025-07-07,CO,313875.0,223764.0,132929.0,101809.0,313875.0,-77.0,1299449.0,220854.0,2820872.0,-93780.0,6364069.0,-194026.0,8344193.0,53141.0,223764.0,-24160.0,1228170.0,-121573.0,3737507.0,-166339.0,6739397.0,-185274.0,8344008.0,53647.0,132929.0,-1875.0,665774.0,-38374.0,1949012.0,-91973.0,3677212.0,-91993.0,4541561.0,54174.0,313875.0,,,,,223764.0,,,,,132929.0,,,,
19742,2025-07-03,CO,313952.0,247924.0,134804.0,109173.0,313952.0,-70530.0,1078595.0,202416.0,2914652.0,-288426.0,6558095.0,-197878.0,8291052.0,-62317.0,247924.0,-8401.0,1349743.0,-88727.0,3903846.0,-288598.0,6924671.0,-197199.0,8290361.0,-14228.0,134804.0,5205.0,704148.0,-26767.0,2040985.0,-164136.0,3769205.0,-105292.0,4487387.0,14887.0,313952.0,,,,,247924.0,,,,,134804.0,,,,
19741,2025-07-02,CO,384482.0,256325.0,129599.0,120927.0,384482.0,114435.0,876179.0,170484.0,3203078.0,-236181.0,6755973.0,40540.0,8353369.0,26631.0,256325.0,56667.0,1438470.0,-136075.0,4192444.0,-258400.0,7121870.0,-25700.0,8304589.0,-2862.0,129599.0,19621.0,730915.0,-75013.0,2205121.0,-181511.0,3874497.0,-20448.0,4472500.0,15089.0,384482.0,,,,,256325.0,,,,,129599.0,,,,
19740,2025-07-01,CO,270047.0,199658.0,109978.0,89153.0,270047.0,252954.0,705695.0,-183850.0,3439259.0,-399345.0,6715433.0,-11080.0,8326738.0,-208793.0,199658.0,-100841.0,1574545.0,-446119.0,4450844.0,-327449.0,7147570.0,-16550.0,8307451.0,-150477.0,109978.0,-48486.0,805928.0,-225987.0,2386632.0,-183363.0,3894945.0,-3411.0,4457411.0,-63619.0,270047.0,,,,,199658.0,,,,,109978.0,,,,
19739,2025-06-30,CO,17093.0,300499.0,158464.0,13058.0,17093.0,-75928.0,889545.0,-631878.0,3838604.0,-1226016.0,6726513.0,-318231.0,8535531.0,-169.0,300499.0,-44838.0,2020664.0,-488673.0,4778293.0,-732934.0,7164120.0,48282.0,8457928.0,-198469.0,158464.0,-12839.0,1031915.0,-251323.0,2569995.0,-441443.0,3898356.0,22569.0,4521030.0,-171142.0,17093.0,1299449.0,,,,300499.0,1228170.0,,,,158464.0,665774.0,,,
19738,2025-06-27,CO,93021.0,345337.0,171303.0,59416.0,93021.0,-18515.0,1521423.0,-314634.0,5064620.0,-414880.0,7044744.0,-167713.0,8535700.0,-27047.0,345337.0,8686.0,2509337.0,-44766.0,5511227.0,-63701.0,7115838.0,175220.0,8656397.0,-101980.0,171303.0,9732.0,1283238.0,-53599.0,3011438.0,-53619.0,3875787.0,92548.0,4692172.0,-72342.0,93021.0,1078595.0,,,,345337.0,1349743.0,,,,171303.0,704148.0,,,
19737,2025-06-26,CO,111536.0,336651.0,161571.0,67456.0,111536.0,-102462.0,1836057.0,-490842.0,5479500.0,-400294.0,7212457.0,-264733.0,8562747.0,-17339.0,336651.0,-55749.0,2554103.0,-199871.0,5574928.0,-108472.0,6940618.0,74499.0,8758377.0,649.0,161571.0,-43041.0,1336837.0,-137369.0,3065057.0,-78525.0,3783239.0,41654.0,4764514.0,-33394.0,111536.0,876179.0,,,,336651.0,1438470.0,,,,161571.0,730915.0,,,
19736,2025-06-25,CO,213998.0,392400.0,204612.0,84274.0,213998.0,-239899.0,2326899.0,-406665.0,5879794.0,-129944.0,7477190.0,-143853.0,8580086.0,-25426.0,392400.0,-253377.0,2753974.0,-122325.0,5683400.0,110375.0,6866119.0,133213.0,8757728.0,49863.0,204612.0,-131353.0,1474206.0,-106498.0,3143582.0,54565.0,3741585.0,90102.0,4797908.0,59302.0,213998.0,705695.0,,,,392400.0,1574545.0,,,,204612.0,805928.0,,,
19735,2025-06-24,CO,453897.0,645777.0,335965.0,166730.0,453897.0,-195074.0,2733564.0,-215495.0,6009738.0,172770.0,7621043.0,-24943.0,8605512.0,212367.0,645777.0,-143395.0,2876299.0,118670.0,5573025.0,429569.0,6732906.0,295642.0,8707865.0,312290.0,335965.0,-73822.0,1580704.0,42624.0,3089017.0,222576.0,3651483.0,162368.0,4738606.0,141378.0,453897.0,889545.0,,,,645777.0,2020664.0,,,,335965.0,1031915.0,,,
19734,2025-06-23,CO,648971.0,789172.0,409787.0,253527.0,648971.0,241316.0,2949059.0,-594138.0,5836968.0,313647.0,7645986.0,631709.0,8393145.0,337767.0,789172.0,399069.0,2757629.0,-244261.0,5143456.0,536955.0,6437264.0,290204.0,8395575.0,478341.0,409787.0,184885.0,1538080.0,-190120.0,2866441.0,273892.0,3489115.0,80181.0,4597228.0,188629.0,648971.0,1521423.0,2820872.0,,,789172.0,2509337.0,3737507.0,,,409787.0,1283238.0,1949012.0,,
