tradeDate,Name,Commercial_NetPosition,CommercialLongPosition,CommercialShortPosition,ManagedMoney_NetPosition,ManagedMoney_LongPosition,ManagedMoney_ShortPosition,Commercial_NetPosition_change,prior_report_Commercial_NetPosition_change,forward_report_Commercial_NetPosition_change,CommercialLongPosition_change,prior_report_CommercialLongPosition_change,forward_report_CommercialLongPosition_change,CommercialShortPosition_change,prior_report_CommercialShortPosition_change,forward_report_CommercialShortPosition_change,ManagedMoney_NetPosition_change,prior_report_ManagedMoney_NetPosition_change,forward_report_ManagedMoney_NetPosition_change,ManagedMoney_LongPosition_change,prior_report_ManagedMoney_LongPosition_change,forward_report_ManagedMoney_LongPosition_change,ManagedMoney_ShortPosition_change,prior_report_ManagedMoney_ShortPosition_change,forward_report_ManagedMoney_ShortPosition_change
2010-01-05,HO,-143349.0,90015.0,233364.0,46774.0,66617.0,19843.0,,,2203.0,,,8210.0,,,6007.0,,,-937.0,,,63.0,,,1000.0
2010-01-12,HO,-141146.0,98225.0,239371.0,45837.0,66680.0,20843.0,2203.0,,11333.0,8210.0,,-4259.0,6007.0,,-15592.0,-937.0,,-10156.0,63.0,,-11450.0,1000.0,,-1294.0
2010-01-19,HO,-129813.0,93966.0,223779.0,35681.0,55230.0,19549.0,11333.0,2203.0,7357.0,-4259.0,8210.0,3651.0,-15592.0,6007.0,-3706.0,-10156.0,-937.0,-9743.0,-11450.0,63.0,-4179.0,-1294.0,1000.0,5564.0
2010-01-26,HO,-122456.0,97617.0,220073.0,25938.0,51051.0,25113.0,7357.0,11333.0,4822.0,3651.0,-4259.0,1475.0,-3706.0,-15592.0,-3347.0,-9743.0,-10156.0,-4097.0,-4179.0,-11450.0,-1995.0,5564.0,-1294.0,2102.0
2010-02-02,HO,-117634.0,99092.0,216726.0,21841.0,49056.0,27215.0,4822.0,7357.0,5019.0,1475.0,3651.0,4900.0,-3347.0,-3706.0,-119.0,-4097.0,-9743.0,-6823.0,-1995.0,-4179.0,-7185.0,2102.0,5564.0,-362.0
2010-02-09,HO,-112615.0,103992.0,216607.0,15018.0,41871.0,26853.0,5019.0,4822.0,487.0,4900.0,1475.0,-7645.0,-119.0,-3347.0,-8132.0,-6823.0,-4097.0,1497.0,-7185.0,-1995.0,224.0,-362.0,2102.0,-1273.0
2010-02-16,HO,-112128.0,96347.0,208475.0,16515.0,42095.0,25580.0,487.0,5019.0,-15465.0,-7645.0,4900.0,-5632.0,-8132.0,-119.0,9833.0,1497.0,-6823.0,11521.0,224.0,-7185.0,7500.0,-1273.0,-362.0,-4021.0
2010-02-23,HO,-127593.0,90715.0,218308.0,28036.0,49595.0,21559.0,-15465.0,487.0,2252.0,-5632.0,-7645.0,1232.0,9833.0,-8132.0,-1020.0,11521.0,1497.0,-3984.0,7500.0,224.0,-723.0,-4021.0,-1273.0,3261.0
2010-03-02,HO,-125341.0,91947.0,217288.0,24052.0,48872.0,24820.0,2252.0,-15465.0,-1193.0,1232.0,-5632.0,17021.0,-1020.0,9833.0,18214.0,-3984.0,11521.0,471.0,-723.0,7500.0,2320.0,3261.0,-4021.0,1849.0
2010-03-09,HO,-126534.0,108968.0,235502.0,24523.0,51192.0,26669.0,-1193.0,2252.0,152.0,17021.0,1232.0,11571.0,18214.0,-1020.0,11419.0,471.0,-3984.0,-1240.0,2320.0,-723.0,1892.0,1849.0,3261.0,3132.0
