Unnamed: 0,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI,F1_OI_Minus_F2_OI,prior_1D_F1_OI_change,prior_5D_F1_OI_change,prior_10D_F1_OI_change,prior_15D_F1_OI_change,prior_20D_F1_OI_change,prior_1D_F2_OI_change,prior_5D_F2_OI_change,prior_10D_F2_OI_change,prior_15D_F2_OI_change,prior_20D_F2_OI_change,prior_1D_F3_OI_change,prior_5D_F3_OI_change,prior_10D_F3_OI_change,prior_15D_F3_OI_change,prior_20D_F3_OI_change,prior_1D_AGG_OI_change,prior_5D_AGG_OI_change,prior_10D_AGG_OI_change,prior_15D_AGG_OI_change,prior_20D_AGG_OI_change,forward_1D_F1_OI_change,forward_5D_F1_OI_change,forward_10D_F1_OI_change,forward_15D_F1_OI_change,forward_20D_F1_OI_change,forward_1D_F2_OI_change,forward_5D_F2_OI_change,forward_10D_F2_OI_change,forward_15D_F2_OI_change,forward_20D_F2_OI_change,forward_1D_F3_OI_change,forward_5D_F3_OI_change,forward_10D_F3_OI_change,forward_15D_F3_OI_change,forward_20D_F3_OI_change,forward_1D_AGG_OI_change,forward_5D_AGG_OI_change,forward_10D_AGG_OI_change,forward_15D_AGG_OI_change,forward_20D_AGG_OI_change
11771,2025-07-07,HO,96042.0,66093.0,30141.0,339809.0,29949.0,-2349.0,93344.0,65502.0,34040.0,51.0,1236.0,-31627.0,-12575.0,-16167.0,319.0,2199.0,-27198.0,-17031.0,-20183.0,-14169.0,4433.0,27065.0,46501.0,-2182.0,-5633.0,2349.0,-93344.0,-65502.0,-34040.0,-51.0,-1236.0,31627.0,12575.0,16167.0,-319.0,-2199.0,27198.0,17031.0,20183.0,14169.0,-4433.0,-27065.0,-46501.0,2182.0,5633.0
11769,2025-07-03,HO,98391.0,64857.0,27942.0,335376.0,33534.0,-5252.0,89757.0,59521.0,30133.0,2224.0,3502.0,-29841.0,-11434.0,-14967.0,2166.0,2110.0,-24303.0,-18695.0,-21404.0,-15226.0,3308.0,26907.0,34828.0,-7781.0,-5672.0,5252.0,-89757.0,-59521.0,-30133.0,-2224.0,-3502.0,29841.0,11434.0,14967.0,-2166.0,-2110.0,24303.0,18695.0,21404.0,15226.0,-3308.0,-26907.0,-34828.0,7781.0,5672.0
11768,2025-07-02,HO,103643.0,61355.0,25832.0,332068.0,42288.0,3777.0,89891.0,61738.0,29626.0,1985.0,2312.0,-26913.0,-16596.0,-14437.0,-821.0,630.0,-24315.0,-21405.0,-20867.0,-18610.0,8039.0,31816.0,25190.0,-7353.0,-12613.0,-3777.0,-89891.0,-61738.0,-29626.0,-1985.0,-2312.0,26913.0,16596.0,14437.0,821.0,-630.0,24315.0,21405.0,20867.0,18610.0,-8039.0,-31816.0,-25190.0,7353.0,12613.0
11767,2025-07-01,HO,99866.0,59043.0,25202.0,324029.0,40823.0,99116.0,81610.0,49010.0,18261.0,-944.0,-38300.0,-27546.0,-18227.0,-14015.0,917.0,-33960.0,-22138.0,-21123.0,-21634.0,-18085.0,6400.0,27991.0,8264.0,-18362.0,-12389.0,-99116.0,-81610.0,-49010.0,-18261.0,944.0,38300.0,27546.0,18227.0,14015.0,-917.0,33960.0,22138.0,21123.0,21634.0,18085.0,-6400.0,-27991.0,-8264.0,18362.0,12389.0
11766,2025-06-30,HO,750.0,97343.0,59162.0,317629.0,-96593.0,-1948.0,-21787.0,-54793.0,-89485.0,-254.0,-377.0,10927.0,14182.0,28468.0,-8884.0,1823.0,10863.0,12811.0,13556.0,1241.0,4885.0,18039.0,-9315.0,-27097.0,-24037.0,1948.0,21787.0,54793.0,89485.0,254.0,377.0,-10927.0,-14182.0,-28468.0,8884.0,-1823.0,-10863.0,-12811.0,-13556.0,-1241.0,-4885.0,-18039.0,9315.0,27097.0,24037.0
11765,2025-06-27,HO,2698.0,97720.0,57339.0,312744.0,-95022.0,-5936.0,-27842.0,-59304.0,-93293.0,-995.0,3022.0,19052.0,15460.0,31946.0,-6581.0,5094.0,10167.0,7015.0,13029.0,2933.0,4275.0,19436.0,-29247.0,-32698.0,-25148.0,5936.0,27842.0,59304.0,93293.0,995.0,-3022.0,-19052.0,-15460.0,-31946.0,6581.0,-5094.0,-10167.0,-7015.0,-13029.0,-2933.0,-4275.0,-19436.0,29247.0,32698.0,25148.0
11764,2025-06-26,HO,8634.0,94698.0,52245.0,308469.0,-86064.0,-5118.0,-30236.0,-59624.0,-87533.0,-2968.0,6430.0,18407.0,14874.0,32007.0,-8435.0,2098.0,5608.0,2899.0,9077.0,-4426.0,8217.0,7921.0,-34688.0,-32579.0,-35866.0,5118.0,30236.0,59624.0,87533.0,2968.0,-6430.0,-18407.0,-14874.0,-32007.0,8435.0,-2098.0,-5608.0,-2899.0,-9077.0,4426.0,-8217.0,-7921.0,34688.0,32579.0,35866.0
11763,2025-06-25,HO,13752.0,88268.0,50147.0,300252.0,-74516.0,-4504.0,-28153.0,-60265.0,-87906.0,-8122.0,1679.0,10317.0,12476.0,26092.0,-11497.0,2807.0,2910.0,3448.0,5705.0,-4314.0,4214.0,-6626.0,-39169.0,-44429.0,-50694.0,4504.0,28153.0,60265.0,87906.0,8122.0,-1679.0,-10317.0,-12476.0,-26092.0,11497.0,-2807.0,-2910.0,-3448.0,-5705.0,4314.0,-4214.0,6626.0,39169.0,44429.0,50694.0
11762,2025-06-24,HO,18256.0,86589.0,47340.0,296038.0,-68333.0,-4281.0,-32600.0,-63349.0,-82554.0,-12924.0,173.0,9319.0,13531.0,28463.0,-11894.0,-959.0,1015.0,504.0,4053.0,-7368.0,-3552.0,-19727.0,-46353.0,-40380.0,-59421.0,4281.0,32600.0,63349.0,82554.0,12924.0,-173.0,-9319.0,-13531.0,-28463.0,11894.0,959.0,-1015.0,-504.0,-4053.0,7368.0,3552.0,19727.0,46353.0,40380.0,59421.0
11761,2025-06-23,HO,22537.0,86416.0,48299.0,299590.0,-63879.0,-8003.0,-33006.0,-67698.0,21533.0,-18693.0,7748.0,3255.0,17541.0,-19811.0,-8973.0,1127.0,1948.0,2693.0,-9622.0,-4861.0,6282.0,-27354.0,-45136.0,-42076.0,-57308.0,8003.0,33006.0,67698.0,-21533.0,18693.0,-7748.0,-3255.0,-17541.0,19811.0,8973.0,-1127.0,-1948.0,-2693.0,9622.0,4861.0,-6282.0,27354.0,45136.0,42076.0,57308.0
