Unnamed: 0,tradeDate,Name,F1_Volume,F2_Volume,F3_Volume,F1MinusF2_Volume,prior_cumulative_1D_F1_Volume,prior_1D_F1_Volume_change,prior_cumulative_5D_F1_Volume,prior_5D_F1_Volume_change,prior_cumulative_10D_F1_Volume,prior_10D_F1_Volume_change,prior_cumulative_15D_F1_Volume,prior_15D_F1_Volume_change,prior_cumulative_20D_F1_Volume,prior_20D_F1_Volume_change,prior_cumulative_1D_F2_Volume,prior_1D_F2_Volume_change,prior_cumulative_5D_F2_Volume,prior_5D_F2_Volume_change,prior_cumulative_10D_F2_Volume,prior_10D_F2_Volume_change,prior_cumulative_15D_F2_Volume,prior_15D_F2_Volume_change,prior_cumulative_20D_F2_Volume,prior_20D_F2_Volume_change,prior_cumulative_1D_F3_Volume,prior_1D_F3_Volume_change,prior_cumulative_5D_F3_Volume,prior_5D_F3_Volume_change,prior_cumulative_10D_F3_Volume,prior_10D_F3_Volume_change,prior_cumulative_15D_F3_Volume,prior_15D_F3_Volume_change,prior_cumulative_20D_F3_Volume,prior_20D_F3_Volume_change,forward_cumulative_1D_F1_Volume,forward_cumulative_5D_F1_Volume,forward_cumulative_10D_F1_Volume,forward_cumulative_15D_F1_Volume,forward_cumulative_20D_F1_Volume,forward_cumulative_1D_F2_Volume,forward_cumulative_5D_F2_Volume,forward_cumulative_10D_F2_Volume,forward_cumulative_15D_F2_Volume,forward_cumulative_20D_F2_Volume,forward_cumulative_1D_F3_Volume,forward_cumulative_5D_F3_Volume,forward_cumulative_10D_F3_Volume,forward_cumulative_15D_F3_Volume,forward_cumulative_20D_F3_Volume
11734,2025-07-07,HO,77934.0,66632.0,33885.0,22731.0,77934.0,-511.0,321105.0,61789.0,472400.0,20176.0,848142.0,17801.0,1169779.0,27133.0,66632.0,455.0,339223.0,-9178.0,824012.0,-84638.0,1430939.0,11173.0,1684550.0,34428.0,33885.0,2764.0,180769.0,-13422.0,469530.0,-62186.0,876088.0,114.0,1015951.0,14764.0,77934.0,,,,,66632.0,,,,,33885.0,,,,
11733,2025-07-03,HO,78445.0,66177.0,31121.0,30082.0,78445.0,-12854.0,259316.0,49985.0,452224.0,32812.0,830341.0,18859.0,1142646.0,11191.0,66177.0,-16028.0,348401.0,-14649.0,908650.0,-21479.0,1419766.0,14273.0,1650122.0,20161.0,31121.0,-6476.0,194191.0,-14777.0,531716.0,-30190.0,875974.0,3310.0,1001187.0,-194.0,78445.0,,,,,66177.0,,,,,31121.0,,,,
11732,2025-07-02,HO,91299.0,82205.0,37597.0,40330.0,91299.0,20347.0,209331.0,65274.0,419412.0,14470.0,811482.0,22188.0,1131455.0,16508.0,82205.0,21423.0,363050.0,-7139.0,930129.0,-32074.0,1405493.0,27819.0,1629961.0,30027.0,37597.0,5532.0,208968.0,-18912.0,561906.0,-38960.0,872664.0,6010.0,1001381.0,8457.0,91299.0,,,,,82205.0,,,,,37597.0,,,,
11731,2025-07-01,HO,70952.0,60782.0,32065.0,27350.0,70952.0,68477.0,144057.0,38640.0,404942.0,-18435.0,789294.0,6136.0,1114947.0,6762.0,60782.0,-2645.0,370189.0,-41118.0,962203.0,-60729.0,1377674.0,12508.0,1599934.0,21490.0,32065.0,-14036.0,227880.0,-25985.0,600866.0,-42138.0,866654.0,7457.0,992924.0,13764.0,70952.0,,,,,60782.0,,,,,32065.0,,,,
11730,2025-06-30,HO,2475.0,63427.0,46101.0,2267.0,2475.0,-13670.0,105417.0,-45878.0,423377.0,-103660.0,783158.0,-65516.0,1108185.0,-1558.0,63427.0,-12383.0,411307.0,-73482.0,1022932.0,-68784.0,1365166.0,19839.0,1578444.0,-2220.0,46101.0,-1206.0,253865.0,-34896.0,643004.0,-52315.0,859197.0,24015.0,979160.0,4690.0,2475.0,321105.0,,,,63427.0,339223.0,,,,46101.0,180769.0,,,
11729,2025-06-27,HO,16145.0,75810.0,47307.0,8233.0,16145.0,-12315.0,151295.0,-41613.0,527037.0,-43988.0,848674.0,-34656.0,1109743.0,-7728.0,75810.0,-5016.0,484789.0,-75460.0,1091716.0,20351.0,1345327.0,43606.0,1580664.0,8795.0,47307.0,1409.0,288761.0,-48764.0,695319.0,13536.0,835182.0,28186.0,974470.0,21002.0,16145.0,259316.0,,,,75810.0,348401.0,,,,47307.0,194191.0,,,
11728,2025-06-26,HO,28460.0,80826.0,45898.0,16333.0,28460.0,2435.0,192908.0,-17173.0,571025.0,-31126.0,883330.0,-38794.0,1117471.0,762.0,80826.0,-8518.0,560249.0,-6830.0,1071365.0,28922.0,1301721.0,34810.0,1571869.0,11468.0,45898.0,-10611.0,337525.0,-15413.0,681783.0,18087.0,806996.0,14583.0,953468.0,15757.0,28460.0,209331.0,,,,80826.0,363050.0,,,,45898.0,208968.0,,,
11727,2025-06-25,HO,26025.0,89344.0,56509.0,14850.0,26025.0,-6287.0,210081.0,-50804.0,602151.0,-43086.0,922124.0,-48766.0,1116709.0,-1610.0,89344.0,-12556.0,567079.0,-24935.0,1042443.0,34958.0,1266911.0,37166.0,1560401.0,14821.0,56509.0,-1541.0,352938.0,-20048.0,663696.0,24922.0,792413.0,27369.0,937711.0,21532.0,26025.0,144057.0,,,,89344.0,370189.0,,,,56509.0,227880.0,,,
11726,2025-06-24,HO,32312.0,101900.0,58050.0,19108.0,32312.0,-16041.0,260885.0,-57075.0,645237.0,-32504.0,970890.0,-31878.0,1118319.0,-5825.0,101900.0,-35009.0,592014.0,-19611.0,1007485.0,53626.0,1229745.0,62608.0,1545580.0,30294.0,58050.0,-22947.0,372986.0,-16153.0,638774.0,33442.0,765044.0,39749.0,916179.0,29850.0,32312.0,105417.0,,,,101900.0,411307.0,,,,58050.0,253865.0,,,
11725,2025-06-23,HO,48353.0,136909.0,80997.0,29731.0,48353.0,-9405.0,317960.0,-57782.0,677741.0,-19638.0,1002768.0,44320.0,1124144.0,18597.0,136909.0,-14361.0,611625.0,4698.0,953859.0,93321.0,1167137.0,71262.0,1515286.0,73272.0,80997.0,-15074.0,389139.0,-17419.0,605332.0,58911.0,725295.0,39586.0,886329.0,52699.0,48353.0,151295.0,472400.0,,,136909.0,484789.0,824012.0,,,80997.0,288761.0,469530.0,,
