tradeDate,Name,Commercial_NetPosition,CommercialLongPosition,CommercialShortPosition,ManagedMoney_NetPosition,ManagedMoney_LongPosition,ManagedMoney_ShortPosition,Commercial_NetPosition_change,prior_report_Commercial_NetPosition_change,forward_report_Commercial_NetPosition_change,CommercialLongPosition_change,prior_report_CommercialLongPosition_change,forward_report_CommercialLongPosition_change,CommercialShortPosition_change,prior_report_CommercialShortPosition_change,forward_report_CommercialShortPosition_change,ManagedMoney_NetPosition_change,prior_report_ManagedMoney_NetPosition_change,forward_report_ManagedMoney_NetPosition_change,ManagedMoney_LongPosition_change,prior_report_ManagedMoney_LongPosition_change,forward_report_ManagedMoney_LongPosition_change,ManagedMoney_ShortPosition_change,prior_report_ManagedMoney_ShortPosition_change,forward_report_ManagedMoney_ShortPosition_change
2010-01-05,XB,-123366.0,73483.0,196849.0,72290.0,86135.0,13845.0,,,-1665.0,,,13776.0,,,15441.0,,,2911.0,,,4491.0,,,1580.0
2010-01-12,XB,-125031.0,87259.0,212290.0,75201.0,90626.0,15425.0,-1665.0,,3556.0,13776.0,,8668.0,15441.0,,5112.0,2911.0,,-2434.0,4491.0,,-2385.0,1580.0,,49.0
2010-01-19,XB,-121475.0,95927.0,217402.0,72767.0,88241.0,15474.0,3556.0,-1665.0,10768.0,8668.0,13776.0,2661.0,5112.0,15441.0,-8107.0,-2434.0,2911.0,-10928.0,-2385.0,4491.0,-14615.0,49.0,1580.0,-3687.0
2010-01-26,XB,-110707.0,98588.0,209295.0,61839.0,73626.0,11787.0,10768.0,3556.0,4240.0,2661.0,8668.0,-4337.0,-8107.0,5112.0,-8577.0,-10928.0,-2434.0,-2869.0,-14615.0,-2385.0,-2427.0,-3687.0,49.0,442.0
2010-02-02,XB,-106467.0,94251.0,200718.0,58970.0,71199.0,12229.0,4240.0,10768.0,8369.0,-4337.0,2661.0,10715.0,-8577.0,-8107.0,2346.0,-2869.0,-10928.0,-6853.0,-2427.0,-14615.0,-7854.0,442.0,-3687.0,-1001.0
2010-02-09,XB,-98098.0,104966.0,203064.0,52117.0,63345.0,11228.0,8369.0,4240.0,-4825.0,10715.0,-4337.0,-3592.0,2346.0,-8577.0,1233.0,-6853.0,-2869.0,4493.0,-7854.0,-2427.0,2570.0,-1001.0,442.0,-1923.0
2010-02-16,XB,-102923.0,101374.0,204297.0,56610.0,65915.0,9305.0,-4825.0,8369.0,-16769.0,-3592.0,10715.0,-7357.0,1233.0,2346.0,9412.0,4493.0,-6853.0,16948.0,2570.0,-7854.0,14552.0,-1923.0,-1001.0,-2396.0
2010-02-23,XB,-119692.0,94017.0,213709.0,73558.0,80467.0,6909.0,-16769.0,-4825.0,-2570.0,-7357.0,-3592.0,3700.0,9412.0,1233.0,6270.0,16948.0,4493.0,-4224.0,14552.0,2570.0,-1849.0,-2396.0,-1923.0,2375.0
2010-03-02,XB,-122262.0,97717.0,219979.0,69334.0,78618.0,9284.0,-2570.0,-16769.0,-2141.0,3700.0,-7357.0,16657.0,6270.0,9412.0,18798.0,-4224.0,16948.0,633.0,-1849.0,14552.0,2238.0,2375.0,-2396.0,1605.0
2010-03-09,XB,-124403.0,114374.0,238777.0,69967.0,80856.0,10889.0,-2141.0,-2570.0,-8013.0,16657.0,3700.0,11623.0,18798.0,6270.0,19636.0,633.0,-4224.0,7071.0,2238.0,-1849.0,6004.0,1605.0,2375.0,-1067.0
