Unnamed: 0,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI,F1_OI_Minus_F2_OI,prior_1D_F1_OI_change,prior_5D_F1_OI_change,prior_10D_F1_OI_change,prior_15D_F1_OI_change,prior_20D_F1_OI_change,prior_1D_F2_OI_change,prior_5D_F2_OI_change,prior_10D_F2_OI_change,prior_15D_F2_OI_change,prior_20D_F2_OI_change,prior_1D_F3_OI_change,prior_5D_F3_OI_change,prior_10D_F3_OI_change,prior_15D_F3_OI_change,prior_20D_F3_OI_change,prior_1D_AGG_OI_change,prior_5D_AGG_OI_change,prior_10D_AGG_OI_change,prior_15D_AGG_OI_change,prior_20D_AGG_OI_change,forward_1D_F1_OI_change,forward_5D_F1_OI_change,forward_10D_F1_OI_change,forward_15D_F1_OI_change,forward_20D_F1_OI_change,forward_1D_F2_OI_change,forward_5D_F2_OI_change,forward_10D_F2_OI_change,forward_15D_F2_OI_change,forward_20D_F2_OI_change,forward_1D_F3_OI_change,forward_5D_F3_OI_change,forward_10D_F3_OI_change,forward_15D_F3_OI_change,forward_20D_F3_OI_change,forward_1D_AGG_OI_change,forward_5D_AGG_OI_change,forward_10D_AGG_OI_change,forward_15D_AGG_OI_change,forward_20D_AGG_OI_change
7852,2025-07-07,XB,126010.0,86720.0,41737.0,349276.0,39290.0,177.0,120296.0,80890.0,39736.0,24.0,-76.0,-36320.0,-29788.0,-22966.0,-7355.0,3166.0,-38210.0,-31523.0,-33189.0,-28402.0,4789.0,13692.0,-9808.0,-33644.0,-43284.0,-177.0,-120296.0,-80890.0,-39736.0,-24.0,76.0,36320.0,29788.0,22966.0,7355.0,-3166.0,38210.0,31523.0,33189.0,28402.0,-4789.0,-13692.0,9808.0,33644.0,43284.0
7850,2025-07-03,XB,125833.0,86796.0,38571.0,344487.0,39037.0,-1991.0,111283.0,79056.0,31026.0,-3039.0,1652.0,-34364.0,-24394.0,-22231.0,-10764.0,-100.0,-40581.0,-32806.0,-34165.0,-31448.0,663.0,3094.0,-7112.0,-41401.0,-51301.0,1991.0,-111283.0,-79056.0,-31026.0,3039.0,-1652.0,34364.0,24394.0,22231.0,10764.0,100.0,40581.0,32806.0,34165.0,31448.0,-663.0,-3094.0,7112.0,41401.0,51301.0
7849,2025-07-02,XB,127824.0,85144.0,38671.0,343824.0,42680.0,1310.0,106400.0,70688.0,23066.0,757.0,1277.0,-39125.0,-24453.0,-23408.0,-6798.0,1065.0,-41035.0,-36074.0,-33143.0,-30544.0,5521.0,-8755.0,-17927.0,-50076.0,-41939.0,-1310.0,-106400.0,-70688.0,-23066.0,-757.0,-1277.0,39125.0,24453.0,23408.0,6798.0,-1065.0,41035.0,36074.0,33143.0,30544.0,-5521.0,8755.0,17927.0,50076.0,41939.0
7848,2025-07-01,XB,126514.0,83867.0,37606.0,338303.0,42647.0,124305.0,99010.0,58598.0,12620.0,-1393.0,-40805.0,-37481.0,-25462.0,-22261.0,-4109.0,-44193.0,-41957.0,-38859.0,-33830.0,-30554.0,2005.0,-14952.0,-32462.0,-58664.0,-42671.0,-124305.0,-99010.0,-58598.0,-12620.0,1393.0,40805.0,37481.0,25462.0,22261.0,4109.0,44193.0,41957.0,38859.0,33830.0,30554.0,-2005.0,14952.0,32462.0,58664.0,42671.0
7847,2025-06-30,XB,2209.0,124672.0,81799.0,336298.0,-122463.0,-3505.0,-32482.0,-73620.0,-120927.0,1335.0,1632.0,5816.0,14794.0,25956.0,-12478.0,1852.0,4246.0,5942.0,11971.0,-2547.0,714.0,-21455.0,-39597.0,-59042.0,-50929.0,3505.0,32482.0,73620.0,120927.0,-1335.0,-1632.0,-5816.0,-14794.0,-25956.0,12478.0,-1852.0,-4246.0,-5942.0,-11971.0,2547.0,-714.0,21455.0,39597.0,59042.0,50929.0
7846,2025-06-27,XB,5714.0,123040.0,79947.0,335584.0,-117326.0,-8836.0,-39406.0,-80560.0,-120272.0,999.0,1880.0,6532.0,13354.0,28965.0,-23091.0,795.0,6687.0,5021.0,9808.0,-3817.0,-5809.0,-23500.0,-47336.0,-56976.0,-62048.0,8836.0,39406.0,80560.0,120272.0,-999.0,-1880.0,-6532.0,-13354.0,-28965.0,23091.0,-795.0,-6687.0,-5021.0,-9808.0,3817.0,5809.0,23500.0,47336.0,56976.0,62048.0
7845,2025-06-26,XB,14550.0,121160.0,79152.0,341393.0,-106610.0,-6874.0,-32227.0,-80257.0,-114322.0,1610.0,-3109.0,9970.0,12133.0,23600.0,-19094.0,-554.0,7775.0,6416.0,9133.0,2026.0,-11186.0,-10206.0,-44495.0,-54395.0,-49358.0,6874.0,32227.0,80257.0,114322.0,-1610.0,3109.0,-9970.0,-12133.0,-23600.0,19094.0,554.0,-7775.0,-6416.0,-9133.0,-2026.0,11186.0,10206.0,44495.0,54395.0,49358.0
7844,2025-06-25,XB,21424.0,124269.0,79706.0,352579.0,-102845.0,-6080.0,-35712.0,-83334.0,-105643.0,468.0,2921.0,14672.0,15717.0,32327.0,-14336.0,143.0,4961.0,7892.0,10491.0,2716.0,-676.0,-9172.0,-41321.0,-33184.0,-44250.0,6080.0,35712.0,83334.0,105643.0,-468.0,-2921.0,-14672.0,-15717.0,-32327.0,14336.0,-143.0,-4961.0,-7892.0,-10491.0,-2716.0,676.0,9172.0,41321.0,33184.0,44250.0
7843,2025-06-24,XB,27504.0,121348.0,79563.0,353255.0,-93844.0,-7187.0,-40412.0,-86390.0,-100403.0,-4852.0,2492.0,12019.0,15220.0,33372.0,-14157.0,2010.0,3098.0,8127.0,11403.0,7095.0,-4498.0,-17510.0,-43712.0,-27719.0,-45796.0,7187.0,40412.0,86390.0,100403.0,4852.0,-2492.0,-12019.0,-15220.0,-33372.0,14157.0,-2010.0,-3098.0,-8127.0,-11403.0,-7095.0,4498.0,17510.0,43712.0,27719.0,45796.0
7842,2025-06-23,XB,34691.0,118856.0,77553.0,357753.0,-84165.0,-10429.0,-41138.0,-88445.0,33817.0,-10123.0,2348.0,8978.0,20140.0,-18294.0,-11455.0,4293.0,1696.0,7725.0,-6793.0,8924.0,-1331.0,-18142.0,-37587.0,-29474.0,-41017.0,10429.0,41138.0,88445.0,-33817.0,10123.0,-2348.0,-8978.0,-20140.0,18294.0,11455.0,-4293.0,-1696.0,-7725.0,6793.0,-8924.0,1331.0,18142.0,37587.0,29474.0,41017.0
