Unnamed: 0,tradeDate,Name,F1_Volume,F2_Volume,F3_Volume,F1MinusF2_Volume,prior_cumulative_1D_F1_Volume,prior_1D_F1_Volume_change,prior_cumulative_5D_F1_Volume,prior_5D_F1_Volume_change,prior_cumulative_10D_F1_Volume,prior_10D_F1_Volume_change,prior_cumulative_15D_F1_Volume,prior_15D_F1_Volume_change,prior_cumulative_20D_F1_Volume,prior_20D_F1_Volume_change,prior_cumulative_1D_F2_Volume,prior_1D_F2_Volume_change,prior_cumulative_5D_F2_Volume,prior_5D_F2_Volume_change,prior_cumulative_10D_F2_Volume,prior_10D_F2_Volume_change,prior_cumulative_15D_F2_Volume,prior_15D_F2_Volume_change,prior_cumulative_20D_F2_Volume,prior_20D_F2_Volume_change,prior_cumulative_1D_F3_Volume,prior_1D_F3_Volume_change,prior_cumulative_5D_F3_Volume,prior_5D_F3_Volume_change,prior_cumulative_10D_F3_Volume,prior_10D_F3_Volume_change,prior_cumulative_15D_F3_Volume,prior_15D_F3_Volume_change,prior_cumulative_20D_F3_Volume,prior_20D_F3_Volume_change,forward_cumulative_1D_F1_Volume,forward_cumulative_5D_F1_Volume,forward_cumulative_10D_F1_Volume,forward_cumulative_15D_F1_Volume,forward_cumulative_20D_F1_Volume,forward_cumulative_1D_F2_Volume,forward_cumulative_5D_F2_Volume,forward_cumulative_10D_F2_Volume,forward_cumulative_15D_F2_Volume,forward_cumulative_20D_F2_Volume,forward_cumulative_1D_F3_Volume,forward_cumulative_5D_F3_Volume,forward_cumulative_10D_F3_Volume,forward_cumulative_15D_F3_Volume,forward_cumulative_20D_F3_Volume
7830,2025-07-07,XB,65359.0,52849.0,22563.0,20630.0,65359.0,21298.0,223837.0,45314.0,363025.0,24396.0,658547.0,11659.0,973823.0,3910.0,52849.0,20655.0,230431.0,-10268.0,657126.0,-58458.0,1212639.0,-6671.0,1509792.0,7547.0,22563.0,9974.0,105562.0,-21100.0,385185.0,-52979.0,731642.0,-6888.0,881777.0,172.0,65359.0,,,,,52849.0,,,,,22563.0,,,,
7829,2025-07-03,XB,44061.0,32194.0,12589.0,12613.0,44061.0,-14256.0,178523.0,19256.0,338629.0,-7914.0,646888.0,-24898.0,969913.0,-36373.0,32194.0,-18505.0,240699.0,-49528.0,715584.0,-74662.0,1219310.0,-44608.0,1502245.0,-43516.0,12589.0,-3968.0,126662.0,-45460.0,438164.0,-55913.0,738530.0,-26551.0,881605.0,-30313.0,44061.0,,,,,32194.0,,,,,12589.0,,,,
7828,2025-07-02,XB,58317.0,50699.0,16557.0,24921.0,58317.0,6743.0,159267.0,33165.0,346543.0,3138.0,671786.0,-2210.0,1006286.0,-2788.0,50699.0,9224.0,290227.0,-30583.0,790246.0,-43433.0,1263918.0,-11364.0,1545761.0,5306.0,16557.0,-1495.0,172122.0,-35591.0,494077.0,-42061.0,765081.0,-11653.0,911918.0,-4191.0,58317.0,,,,,50699.0,,,,,16557.0,,,,
7827,2025-07-01,XB,51574.0,41475.0,18052.0,18280.0,51574.0,47048.0,126102.0,25243.0,343405.0,-9158.0,673996.0,-12115.0,1009074.0,-30431.0,41475.0,-11739.0,320810.0,-57746.0,833679.0,-60879.0,1275282.0,-14289.0,1540455.0,-13440.0,18052.0,-17749.0,207713.0,-45470.0,536138.0,-31566.0,776734.0,-10226.0,916109.0,-5026.0,51574.0,,,,,41475.0,,,,,18052.0,,,,
7826,2025-06-30,XB,4526.0,53214.0,35801.0,3244.0,4526.0,-15519.0,100859.0,-38329.0,352563.0,-82147.0,686111.0,-63875.0,1039505.0,-438.0,53214.0,-9903.0,378556.0,-48139.0,894558.0,-87650.0,1289571.0,10210.0,1553895.0,-21540.0,35801.0,-7862.0,253183.0,-26440.0,567704.0,-58376.0,786960.0,10745.0,921135.0,-3567.0,4526.0,223837.0,,,,53214.0,230431.0,,,,35801.0,105562.0,,,
7825,2025-06-27,XB,20045.0,63117.0,43663.0,8875.0,20045.0,-4760.0,139188.0,-20918.0,434710.0,-33655.0,749986.0,-41404.0,1039943.0,10.0,63117.0,-18605.0,426695.0,-48190.0,982208.0,3597.0,1279361.0,17815.0,1575435.0,-13421.0,43663.0,-14386.0,279623.0,-31879.0,626080.0,14212.0,776215.0,21272.0,924702.0,-3779.0,20045.0,178523.0,,,,63117.0,240699.0,,,,43663.0,126662.0,,,
7824,2025-06-26,XB,24805.0,81722.0,58049.0,12334.0,24805.0,-347.0,160106.0,-27170.0,468365.0,-44154.0,791390.0,-55629.0,1039933.0,-7463.0,81722.0,440.0,474885.0,-25134.0,978611.0,4920.0,1261546.0,6012.0,1588856.0,3843.0,58049.0,5901.0,311502.0,-10453.0,611868.0,18909.0,754943.0,15147.0,928481.0,9272.0,24805.0,159267.0,,,,81722.0,290227.0,,,,58049.0,172122.0,,,
7823,2025-06-25,XB,25152.0,81282.0,52148.0,12775.0,25152.0,-1179.0,187276.0,-30027.0,512519.0,-35375.0,847019.0,-35953.0,1047396.0,-13423.0,81282.0,-17939.0,500019.0,-12850.0,973691.0,19219.0,1255534.0,35889.0,1585013.0,-15676.0,52148.0,-11374.0,321955.0,-6470.0,592959.0,23938.0,739796.0,31400.0,919209.0,3659.0,25152.0,126102.0,,,,81282.0,320810.0,,,,52148.0,207713.0,,,
7822,2025-06-24,XB,26331.0,99221.0,63522.0,11962.0,26331.0,-16524.0,217303.0,-34401.0,547894.0,-37358.0,882972.0,-55674.0,1060819.0,-15626.0,99221.0,-2132.0,512869.0,-3133.0,954472.0,43457.0,1219645.0,44306.0,1600689.0,5155.0,63522.0,1281.0,328425.0,13904.0,569021.0,35244.0,708396.0,40444.0,915550.0,17698.0,26331.0,100859.0,,,,99221.0,378556.0,,,,63522.0,253183.0,,,
7821,2025-06-23,XB,42855.0,101353.0,62241.0,18107.0,42855.0,1892.0,251704.0,-43818.0,585252.0,-25546.0,938646.0,37891.0,1076445.0,11257.0,101353.0,-9954.0,516002.0,-39511.0,911015.0,58349.0,1175339.0,26599.0,1595534.0,31078.0,62241.0,-13301.0,314521.0,-31936.0,533777.0,37185.0,667952.0,22873.0,897852.0,33426.0,42855.0,139188.0,363025.0,,,101353.0,426695.0,657126.0,,,62241.0,279623.0,385185.0,,
7820,2025-06-20,XB,40963.0,111307.0,75542.0,16183.0,40963.0,-11012.0,295522.0,-12737.0,610798.0,-20486.0,900755.0,20928.0,1065188.0,4107.0,111307.0,4451.0,555513.0,51787.0,852666.0,66005.0,1148740.0,34769.0,1564456.0,33201.0,75542.0,7040.0,346457.0,46091.0,496592.0,53151.0,645079.0,28100.0,864426.0,42248.0,40963.0,160106.0,338629.0,,,111307.0,474885.0,715584.0,,,75542.0,311502.0,438164.0,,
7819,2025-06-18,XB,51975.0,106856.0,68502.0,25834.0,51975.0,-3204.0,308259.0,-16984.0,631284.0,-28459.0,879827.0,19707.0,1061081.0,17938.0,106856.0,12724.0,503726.0,30054.0,786661.0,31146.0,1113971.0,28977.0,1531255.0,48997.0,68502.0,9884.0,300366.0,29362.0,443441.0,25600.0,616979.0,19725.0,822178.0,39193.0,51975.0,187276.0,346543.0,,,106856.0,500019.0,790246.0,,,68502.0,321955.0,494077.0,,
7818,2025-06-17,XB,55179.0,94132.0,58618.0,26426.0,55179.0,-5553.0,325243.0,-5348.0,659743.0,-5926.0,860120.0,16604.0,1043143.0,9961.0,94132.0,-8222.0,473672.0,32069.0,755515.0,48739.0,1084994.0,-2826.0,1482258.0,31625.0,58618.0,9000.0,271004.0,30408.0,417841.0,37870.0,597254.0,10129.0,782985.0,36554.0,55179.0,217303.0,343405.0,,,94132.0,512869.0,833679.0,,,58618.0,328425.0,536138.0,,
7817,2025-06-16,XB,60732.0,102354.0,49618.0,25551.0,60732.0,-25941.0,330591.0,-2957.0,665669.0,-21273.0,843516.0,18775.0,1033182.0,16513.0,102354.0,-38510.0,441603.0,46590.0,706776.0,47439.0,1087820.0,8288.0,1450633.0,42129.0,49618.0,-44559.0,240596.0,21340.0,379971.0,26540.0,587125.0,3794.0,746431.0,24812.0,60732.0,251704.0,352563.0,,,102354.0,516002.0,894558.0,,,49618.0,314521.0,567704.0,,
7816,2025-06-13,XB,86673.0,140864.0,94177.0,36905.0,86673.0,32973.0,333548.0,18272.0,686942.0,81709.0,824741.0,55075.0,1016669.0,35261.0,140864.0,81344.0,395013.0,97860.0,659337.0,66110.0,1079532.0,70589.0,1408504.0,75458.0,94177.0,64726.0,219256.0,69121.0,353431.0,54809.0,583331.0,65362.0,721619.0,57713.0,86673.0,295522.0,434710.0,658547.0,,140864.0,555513.0,982208.0,1212639.0,,94177.0,346457.0,626080.0,731642.0,
7815,2025-06-12,XB,53700.0,59520.0,29451.0,21517.0,53700.0,-15259.0,315276.0,-7749.0,605233.0,33665.0,769666.0,16844.0,981408.0,-12158.0,59520.0,-17282.0,297153.0,14218.0,593227.0,-17018.0,1008943.0,-18586.0,1333046.0,-25225.0,29451.0,-9689.0,150135.0,7060.0,298622.0,-17991.0,517969.0,-3843.0,663906.0,-8007.0,53700.0,308259.0,468365.0,646888.0,,59520.0,503726.0,978611.0,1219310.0,,29451.0,300366.0,611868.0,738530.0,
7814,2025-06-11,XB,68959.0,76802.0,39140.0,27287.0,68959.0,8432.0,323025.0,-11475.0,571568.0,36691.0,752822.0,34922.0,993566.0,4616.0,76802.0,14739.0,282935.0,1092.0,610245.0,-1077.0,1027529.0,18943.0,1358271.0,1276.0,39140.0,10930.0,143075.0,-3762.0,316613.0,-9637.0,521812.0,9831.0,671913.0,2629.0,68959.0,325243.0,512519.0,671786.0,,76802.0,473672.0,973691.0,1263918.0,,39140.0,271004.0,592959.0,765081.0,
7813,2025-06-10,XB,60527.0,62063.0,28210.0,25946.0,60527.0,-3162.0,334500.0,-578.0,534877.0,21952.0,717900.0,15309.0,988950.0,-4413.0,62063.0,6299.0,281843.0,16670.0,611322.0,-34895.0,1008586.0,-444.0,1356995.0,-4472.0,28210.0,-68.0,146837.0,7462.0,326250.0,-20279.0,511981.0,6146.0,669284.0,1461.0,60527.0,330591.0,547894.0,673996.0,,62063.0,441603.0,954472.0,1275282.0,,28210.0,240596.0,569021.0,776734.0,
