,tradeDate,Name,F1_OI,F2_OI,F3_OI,AGG_OI
0,2010-01-04,CL,290352.0,178537.0,58585.0,1241859.0
1,2010-01-05,CL,280580.0,180702.0,59261.0,1231436.0
2,2010-01-06,CL,275043.0,190543.0,72163.0,1264706.0
3,2010-01-07,CL,262309.0,196110.0,79734.0,1277089.0
4,2010-01-08,CL,250371.0,202989.0,85524.0,1289625.0
5,2010-01-11,CL,226210.0,227888.0,84853.0,1294224.0
6,2010-01-12,CL,189671.0,255715.0,90028.0,1300867.0
7,2010-01-13,CL,140073.0,303670.0,96182.0,1316280.0
8,2010-01-14,CL,101425.0,339020.0,111961.0,1347402.0
9,2010-01-15,CL,68799.0,343424.0,117013.0,1330155.0
10,2010-01-19,CL,25198.0,357061.0,128210.0,1324903.0
11,2010-01-20,CL,2945.0,372963.0,133047.0,1332531.0
12,2010-01-21,CL,366538.0,135093.0,74065.0,1327105.0
13,2010-01-22,CL,358151.0,130850.0,71832.0,1311008.0
14,2010-01-25,CL,359909.0,129896.0,77442.0,1318133.0
15,2010-01-26,CL,352878.0,131555.0,82949.0,1320661.0
16,2010-01-27,CL,346799.0,124315.0,87233.0,1306611.0
17,2010-01-28,CL,341430.0,129217.0,88782.0,1315625.0
18,2010-01-29,CL,342928.0,132990.0,89284.0,1319629.0
19,2010-02-01,CL,338307.0,137375.0,93357.0,1324749.0
20,2010-02-02,CL,343139.0,140594.0,99661.0,1360697.0
21,2010-02-03,CL,329819.0,138079.0,99769.0,1336495.0
22,2010-02-04,CL,311435.0,137702.0,102177.0,1317647.0
23,2010-02-05,CL,287290.0,145560.0,108181.0,1305221.0
24,2010-02-08,CL,259192.0,166442.0,113254.0,1308633.0
25,2010-02-09,CL,222137.0,185636.0,123694.0,1307602.0
26,2010-02-10,CL,185178.0,207347.0,131224.0,1305656.0
27,2010-02-11,CL,156710.0,235068.0,144131.0,1331464.0
28,2010-02-12,CL,132577.0,242333.0,149792.0,1333444.0
29,2010-02-16,CL,97039.0,241823.0,151487.0,1301624.0
