,tradeDate,Name,F1_Price,F2_Price,F3_Price,F1_RolledPrice,F2_RolledPrice,F3_RolledPrice
0,2010-01-04,CL,81.51,82.12,82.65,104.06,86.72,73.2
1,2010-01-05,CL,81.77,82.41,82.99,104.32,87.01,73.54
2,2010-01-06,CL,83.18,83.75,84.31,105.73,88.35,74.86
3,2010-01-07,CL,82.66,83.19,83.75,105.21,87.79,74.3
4,2010-01-08,CL,82.75,83.3,83.87,105.3,87.9,74.42
5,2010-01-11,CL,82.52,83.01,83.55,105.07,87.61,74.1
6,2010-01-12,CL,80.79,81.17,81.7,103.34,85.77,72.25
7,2010-01-13,CL,79.65,80.04,80.6,102.2,84.64,71.15
8,2010-01-14,CL,79.39,79.88,80.47,101.94,84.48,71.02
9,2010-01-15,CL,78.0,78.37,78.97,100.55,82.97,69.52
10,2010-01-19,CL,79.02,79.32,79.81,101.5,83.81,70.28
11,2010-01-20,CL,77.62,77.74,78.23,99.92,82.23,68.73
12,2010-01-21,CL,76.08,76.53,77.13,98.26,80.53,67.01
13,2010-01-22,CL,74.54,74.92,75.46,96.72,78.92,65.34
14,2010-01-25,CL,75.26,75.69,76.27,97.44,79.69,66.15
15,2010-01-26,CL,74.71,75.15,75.73,96.89,79.15,65.61
16,2010-01-27,CL,73.67,74.15,74.75,95.85,78.15,64.63
17,2010-01-28,CL,73.64,74.07,74.64,95.82,78.07,64.52
18,2010-01-29,CL,72.89,73.35,73.95,95.07,77.35,63.83
19,2010-02-01,CL,74.43,74.91,75.52,96.61,78.91,65.4
20,2010-02-02,CL,77.23,77.72,78.34,99.41,81.72,68.22
21,2010-02-03,CL,76.98,77.43,78.05,99.16,81.43,67.93
22,2010-02-04,CL,73.14,73.54,74.14,95.32,77.54,64.02
23,2010-02-05,CL,71.19,71.52,71.95,93.37,75.52,61.83
24,2010-02-08,CL,71.89,72.29,72.76,94.07,76.29,62.64
25,2010-02-09,CL,73.75,74.2,74.71,95.93,78.2,64.59
26,2010-02-10,CL,74.52,74.89,75.34,96.7,78.89,65.22
27,2010-02-11,CL,75.28,75.72,76.23,97.46,79.72,66.11
28,2010-02-12,CL,74.13,74.5,75.03,96.31,78.5,64.91
29,2010-02-16,CL,77.01,77.42,77.92,99.19,81.42,67.8
30,2010-02-17,CL,77.33,77.73,78.22,99.51,81.73,68.1
31,2010-02-18,CL,79.06,79.42,79.85,101.24,83.42,69.73
32,2010-02-19,CL,79.81,80.06,80.45,101.99,84.06,70.33
33,2010-02-22,CL,80.16,80.31,80.72,102.24,84.33,70.61
34,2010-02-23,CL,78.86,79.29,79.74,100.79,82.9,69.22
35,2010-02-24,CL,80.0,80.38,80.78,101.93,83.99,70.26
36,2010-02-25,CL,78.17,78.53,78.9,100.1,82.14,68.38
37,2010-02-26,CL,79.66,80.01,80.37,101.59,83.62,69.85
38,2010-03-01,CL,78.7,79.08,79.48,100.63,82.69,68.96
39,2010-03-02,CL,79.68,80.06,80.44,101.61,83.67,69.92
40,2010-03-03,CL,80.87,81.26,81.64,102.8,84.87,71.12
41,2010-03-04,CL,80.21,80.63,81.1,102.14,84.24,70.58
42,2010-03-05,CL,81.5,81.92,82.37,103.43,85.53,71.85
43,2010-03-08,CL,81.87,82.31,82.78,103.8,85.92,72.26
44,2010-03-09,CL,81.49,81.86,82.3,103.42,85.47,71.78
45,2010-03-10,CL,82.09,82.43,82.79,104.02,86.04,72.27
46,2010-03-11,CL,82.11,82.43,82.78,104.04,86.04,72.26
47,2010-03-12,CL,81.24,81.54,81.88,103.17,85.15,71.36
48,2010-03-15,CL,79.8,80.08,80.43,101.73,83.69,69.91
49,2010-03-16,CL,81.7,81.97,82.31,103.63,85.58,71.79
50,2010-03-17,CL,82.93,83.21,83.56,104.86,86.82,73.04
51,2010-03-18,CL,82.2,82.54,82.94,104.13,86.15,72.42
52,2010-03-19,CL,80.68,80.97,81.36,102.61,84.58,70.84
53,2010-03-22,CL,81.25,81.6,81.97,103.24,85.19,71.45
54,2010-03-23,CL,81.91,82.25,82.63,103.55,85.47,71.7
55,2010-03-24,CL,80.61,81.01,81.44,102.25,84.23,70.51
56,2010-03-25,CL,80.53,80.99,81.46,102.17,84.21,70.53
57,2010-03-26,CL,80.0,80.47,80.96,101.64,83.69,70.03
58,2010-03-29,CL,82.17,82.59,83.02,103.81,85.81,72.09
59,2010-03-30,CL,82.37,82.77,83.17,104.01,85.99,72.24
60,2010-03-31,CL,83.76,84.18,84.57,105.4,87.4,73.64
61,2010-04-01,CL,84.87,85.34,85.78,106.51,88.56,74.85
62,2010-04-05,CL,86.62,87.13,87.62,108.26,90.35,76.69
63,2010-04-06,CL,86.84,87.39,87.94,108.48,90.61,77.01
64,2010-04-07,CL,85.88,86.51,87.17,107.52,89.73,76.24
65,2010-04-08,CL,85.39,86.03,86.75,107.03,89.25,75.82
66,2010-04-09,CL,84.92,85.63,86.52,106.56,88.85,75.59
67,2010-04-12,CL,84.34,85.28,86.41,105.98,88.5,75.48
68,2010-04-13,CL,84.05,85.11,86.16,105.69,88.33,75.23
69,2010-04-14,CL,85.84,86.73,87.71,107.48,89.95,76.78
70,2010-04-15,CL,85.51,86.75,88.07,107.15,89.97,77.14
71,2010-04-16,CL,83.24,84.67,86.22,104.88,87.89,75.29
72,2010-04-19,CL,81.45,83.13,84.62,103.34,86.29,73.68
73,2010-04-20,CL,83.45,83.85,85.25,104.06,86.92,74.28
74,2010-04-21,CL,83.68,85.63,86.75,103.89,87.3,74.89
75,2010-04-22,CL,83.7,85.64,86.85,103.91,87.31,74.99
76,2010-04-23,CL,85.12,87.04,88.3,105.33,88.71,76.44
77,2010-04-26,CL,84.2,86.47,87.95,104.41,88.14,76.09
78,2010-04-27,CL,82.44,85.0,86.77,102.65,86.67,74.91
79,2010-04-28,CL,83.22,85.67,87.29,103.43,87.34,75.43
80,2010-04-29,CL,85.17,87.25,88.51,105.38,88.92,76.65
81,2010-04-30,CL,86.15,88.36,89.68,106.36,90.03,77.82
82,2010-05-03,CL,86.19,89.15,90.77,106.4,90.82,78.91
83,2010-05-04,CL,82.74,85.76,87.26,102.95,87.43,75.4
84,2010-05-05,CL,79.97,82.99,84.56,100.18,84.66,72.7
85,2010-05-06,CL,77.11,80.18,81.8,97.32,81.85,69.94
86,2010-05-07,CL,75.11,78.51,80.22,95.32,80.18,68.36
87,2010-05-10,CL,76.8,80.52,82.17,97.01,82.19,70.31
88,2010-05-11,CL,76.37,80.22,82.18,96.58,81.89,70.32
89,2010-05-12,CL,75.65,80.15,82.55,95.86,81.82,70.69
90,2010-05-13,CL,74.4,78.99,81.43,94.61,80.66,69.57
91,2010-05-14,CL,71.61,75.43,77.67,91.82,77.1,65.81
92,2010-05-17,CL,70.08,73.22,75.06,90.29,74.89,63.2
93,2010-05-18,CL,69.41,72.7,74.39,89.62,74.37,62.53
94,2010-05-19,CL,69.87,72.48,73.78,89.4,73.76,61.75
95,2010-05-20,CL,68.01,70.8,71.96,87.72,71.94,59.84
96,2010-05-21,CL,70.04,71.67,72.75,86.96,71.65,59.8
97,2010-05-24,CL,70.21,71.62,72.59,87.13,71.6,59.64
98,2010-05-25,CL,68.75,70.1,71.04,85.67,70.08,58.09
99,2010-05-26,CL,71.51,72.54,73.36,88.43,72.52,60.41
100,2010-05-27,CL,74.55,75.62,76.5,91.47,75.6,63.55
101,2010-05-28,CL,73.97,75.16,76.12,90.89,75.14,63.17
102,2010-06-01,CL,72.58,73.9,74.9,89.5,73.88,61.95
103,2010-06-02,CL,72.86,74.5,75.76,89.78,74.48,62.81
104,2010-06-03,CL,74.61,76.05,77.11,91.53,76.03,64.16
105,2010-06-04,CL,71.51,72.8,73.77,88.43,72.78,60.82
106,2010-06-07,CL,71.44,72.77,73.85,88.36,72.75,60.9
107,2010-06-08,CL,71.99,73.06,73.98,88.91,73.04,61.03
108,2010-06-09,CL,74.38,75.44,76.33,91.3,75.42,63.38
109,2010-06-10,CL,75.48,76.68,77.6,92.4,76.66,64.65
110,2010-06-11,CL,73.78,75.34,76.51,90.7,75.32,63.56
111,2010-06-14,CL,75.12,76.28,77.16,92.04,76.26,64.21
112,2010-06-15,CL,76.94,77.91,78.71,93.86,77.89,65.76
113,2010-06-16,CL,77.67,78.72,79.6,94.59,78.7,66.65
114,2010-06-17,CL,76.79,78.04,79.12,93.71,78.02,66.17
115,2010-06-18,CL,77.18,78.26,79.18,94.1,78.24,66.23
116,2010-06-21,CL,77.82,78.61,79.48,94.45,78.54,66.52
117,2010-06-22,CL,77.21,77.85,78.66,93.69,77.72,65.67
118,2010-06-23,CL,76.35,77.03,77.65,92.19,76.09,63.96
119,2010-06-24,CL,76.51,77.15,77.66,92.35,76.21,63.97
120,2010-06-25,CL,78.86,79.43,79.9,94.7,78.49,66.21
121,2010-06-28,CL,78.25,78.9,79.48,94.09,77.96,65.79
122,2010-06-29,CL,75.94,76.57,77.1,91.78,75.63,63.41
123,2010-06-30,CL,75.63,76.16,76.6,91.47,75.22,62.91
124,2010-07-01,CL,72.95,73.46,73.93,88.79,72.52,60.24
125,2010-07-02,CL,72.14,72.6,73.06,87.98,71.66,59.37
126,2010-07-06,CL,71.98,72.51,73.06,87.82,71.57,59.37
127,2010-07-07,CL,74.07,74.64,75.19,89.91,73.7,61.5
128,2010-07-08,CL,75.44,76.03,76.58,91.28,75.09,62.89
129,2010-07-09,CL,76.09,76.63,77.07,91.93,75.69,63.38
130,2010-07-12,CL,74.95,75.44,75.87,90.79,74.5,62.18
131,2010-07-13,CL,77.15,77.59,77.98,92.99,76.65,64.29
132,2010-07-14,CL,77.04,77.45,77.79,92.88,76.51,64.1
133,2010-07-15,CL,76.62,77.01,77.38,92.46,76.07,63.69
134,2010-07-16,CL,76.01,76.38,76.8,91.85,75.44,63.11
135,2010-07-19,CL,76.54,76.9,77.29,92.37,75.93,63.57
136,2010-07-20,CL,77.44,77.58,77.92,93.05,76.56,64.14
137,2010-07-21,CL,76.56,77.0,77.56,92.03,75.64,63.31
138,2010-07-22,CL,79.3,79.64,80.12,94.77,78.28,65.87
139,2010-07-23,CL,78.98,79.34,79.83,94.45,77.98,65.58
