,tradeDate,Name,F1_Volume,F2_Volume,F3_Volume,F1MinusF2_Volume
0,,CL,VOLUME,VOLUME,VOLUME,VOLUME
1,2010-01-04,CL,263542.0,96295.0,30877.0,51487.0
2,2010-01-05,CL,258887.0,95556.0,36974.0,50959.0
3,2010-01-06,CL,370059.0,139178.0,60368.0,73411.0
4,2010-01-07,CL,246632.0,112493.0,42910.0,63937.0
5,2010-01-08,CL,310377.0,120793.0,41106.0,63360.0
6,2010-01-11,CL,296304.0,130542.0,30455.0,65466.0
7,2010-01-12,CL,333866.0,164315.0,53347.0,85687.0
8,2010-01-13,CL,401627.0,216845.0,56324.0,108979.0
9,2010-01-14,CL,275404.0,197449.0,61465.0,104809.0
10,2010-01-15,CL,200555.0,190088.0,49443.0,78050.0
11,2010-01-19,CL,186882.0,351108.0,90135.0,90297.0
12,2010-01-20,CL,40679.0,303758.0,73437.0,29096.0
13,2010-01-21,CL,327417.0,73163.0,29749.0,44118.0
14,2010-01-22,CL,348819.0,93682.0,41753.0,58265.0
15,2010-01-25,CL,280559.0,87651.0,31153.0,61341.0
16,2010-01-26,CL,256207.0,60873.0,29897.0,31058.0
17,2010-01-27,CL,356179.0,101291.0,47562.0,55413.0
18,2010-01-28,CL,292911.0,67277.0,26903.0,38296.0
19,2010-01-29,CL,335270.0,66262.0,31517.0,33939.0
20,2010-02-01,CL,277411.0,63158.0,25394.0,34395.0
21,2010-02-02,CL,366269.0,89994.0,38268.0,47377.0
22,2010-02-03,CL,391294.0,120781.0,48436.0,66176.0
23,2010-02-04,CL,523892.0,161942.0,73186.0,92182.0
24,2010-02-05,CL,596142.0,198355.0,93186.0,113994.0
25,2010-02-08,CL,345638.0,141625.0,62871.0,78335.0
26,2010-02-09,CL,429845.0,168989.0,71174.0,92713.0
27,2010-02-10,CL,422057.0,153593.0,67340.0,88141.0
28,2010-02-11,CL,464441.0,221849.0,88139.0,133272.0
29,2010-02-12,CL,335805.0,139389.0,56460.0,71092.0
30,2010-02-16,CL,365032.0,164720.0,48491.0,91648.0
31,2010-02-17,CL,283816.0,139976.0,42946.0,70498.0
32,2010-02-18,CL,274169.0,228169.0,51860.0,92725.0
33,2010-02-19,CL,183234.0,314632.0,56635.0,88807.0
34,2010-02-22,CL,34938.0,238956.0,54264.0,26122.0
35,2010-02-23,CL,316878.0,76246.0,42150.0,43168.0
36,2010-02-24,CL,289321.0,88746.0,47513.0,48616.0
37,2010-02-25,CL,346025.0,71581.0,31320.0,41639.0
38,2010-02-26,CL,319038.0,104180.0,56454.0,64156.0
39,2010-03-01,CL,298718.0,84974.0,45362.0,44646.0
40,2010-03-02,CL,301698.0,75318.0,43262.0,40522.0
41,2010-03-03,CL,306910.0,76361.0,53914.0,38480.0
42,2010-03-04,CL,278889.0,102209.0,64995.0,54162.0
43,2010-03-05,CL,299634.0,98684.0,50594.0,52895.0
44,2010-03-08,CL,295351.0,119815.0,56393.0,66688.0
45,2010-03-09,CL,332133.0,147722.0,56175.0,84163.0
46,2010-03-10,CL,430148.0,181314.0,96762.0,88316.0
47,2010-03-11,CL,279161.0,159699.0,61611.0,87061.0
48,2010-03-12,CL,337201.0,131484.0,70093.0,64337.0
49,2010-03-15,CL,283135.0,141848.0,50649.0,78545.0
50,2010-03-16,CL,290180.0,166486.0,75044.0,77008.0
51,2010-03-17,CL,275205.0,184634.0,71972.0,88684.0
52,2010-03-18,CL,208343.0,197918.0,83719.0,77196.0
53,2010-03-19,CL,150682.0,327502.0,71094.0,78097.0
54,2010-03-22,CL,32676.0,351220.0,87245.0,27019.0
55,2010-03-23,CL,261873.0,65774.0,24302.0,31074.0
56,2010-03-24,CL,307763.0,87468.0,26916.0,47375.0
57,2010-03-25,CL,296271.0,103681.0,31972.0,52099.0
58,2010-03-26,CL,324607.0,76598.0,25098.0,41373.0
59,2010-03-29,CL,311042.0,87226.0,40221.0,40898.0
60,2010-03-30,CL,244435.0,80805.0,30616.0,41798.0
61,2010-03-31,CL,371961.0,115747.0,42129.0,56282.0
62,2010-04-01,CL,295387.0,111547.0,38732.0,56106.0
63,2010-04-05,CL,244106.0,97439.0,31446.0,52166.0
64,2010-04-06,CL,290480.0,122327.0,45275.0,60799.0
65,2010-04-07,CL,379528.0,171551.0,66497.0,87059.0
66,2010-04-08,CL,389596.0,184018.0,75166.0,89376.0
67,2010-04-09,CL,442943.0,288958.0,135570.0,143907.0
68,2010-04-12,CL,421904.0,288555.0,120134.0,148868.0
69,2010-04-13,CL,552298.0,389136.0,176618.0,191489.0
70,2010-04-14,CL,425166.0,325996.0,144513.0,150042.0
71,2010-04-15,CL,274095.0,261588.0,113838.0,104675.0
72,2010-04-16,CL,268760.0,360600.0,115334.0,97813.0
73,2010-04-19,CL,122831.0,355166.0,92353.0,64510.0
74,2010-04-20,CL,33432.0,344024.0,120826.0,22705.0
75,2010-04-21,CL,428236.0,176788.0,80523.0,102059.0
76,2010-04-22,CL,433947.0,143647.0,61027.0,85743.0
77,2010-04-23,CL,322550.0,97814.0,50798.0,51996.0
78,2010-04-26,CL,337123.0,145246.0,62507.0,83349.0
79,2010-04-27,CL,462842.0,166105.0,79293.0,88846.0
80,2010-04-28,CL,400695.0,159348.0,79250.0,86367.0
